s_lu,X_R,Y_R,Z_R,lambda,phi_contact
0.874388876913715,54.8430690584049,56.0323209580833,0.236551400556705,55.1587638619686,2.35922392732846e-16
1.74877775382743,54.7599446488187,57.063770255151,0.516708409227266,55.3180234774446,8.74300631892311e-16
2.62316663074114,54.6705767694081,58.1040666420536,0.800900750746105,55.4876609312368,-2.4980018054066e-16
3.49755550765486,54.5742920813066,59.1532258003847,1.08898391810778,55.6677202379807,-6.66133814775094e-16
4.37194438456858,54.4727474236825,60.2111892048927,1.38149292517078,55.8581666831604,-3.88578058618805e-16
5.24633326148229,54.3645786760497,61.277347453463,1.67792100741843,56.0584184435658,1.27675647831893e-15
6.120722138396,54.2504190088442,62.3515317385179,1.97844926899849,56.268330765035,-2.77555756156289e-16
6.99511101530972,54.1304214379993,63.4334748946018,2.2831093568568,56.4876610328746,-2.77555756156289e-16
7.86949989222343,54.0050115855774,64.5229499116916,2.59198458190685,56.7162031191919,-8.32667268468867e-16
8.74388876913715,53.8747825315356,65.6199867964042,2.90531586834983,56.9540114162371,-1.22124532708767e-15
9.61827764605087,53.7390903028958,66.7242490974706,3.22286330346659,57.200772225282,8.88178419700125e-16
10.4926665229646,53.5996315745498,67.8359981778734,3.54522287074629,57.4567630746747,4.9960036108132e-16
11.3670553998783,53.4553578599143,68.9549554322054,3.87207313161712,57.7217327388212,-1.27675647831893e-15
12.241444276792,53.3065025357287,70.0810897094551,4.20353061185593,57.9956720303284,1.60982338570648e-15
13.1158331537057,53.154163425097,71.2148442299742,4.54007047137254,58.2790443398024,-5.55111512312578e-16
13.9902220306194,52.997963455244,72.3561758152164,4.8816348924558,58.5718324530619,-2.22044604925031e-16
14.8646109075332,52.838431825937,73.5054912764512,5.22856397390479,58.8744698626652,-1.11022302462516e-16
15.7389997844469,52.6747971838763,74.6627283801613,5.58069801552882,59.1869278953259,2.22044604925031e-16
16.6133886613606,52.5092570597743,75.8292596981623,5.93910973591256,59.5106045460335,-6.66133814775094e-16
17.4877775382743,52.3368889545638,77.0035437327932,6.30218004871451,59.8440301644919,-3.33066907387547e-16
18.362166415188,52.1633302128783,78.1878234131132,6.67208749166631,60.1894388424782,-5.55111512312578e-16
19.2365552921017,51.988451138722,79.3783538943281,7.04756258641902,60.5430037308406,1.22124532708767e-15
20.1109441690154,51.8121317483242,80.5737518740548,7.42812469481321,60.9033123843703,1.11022302462516e-16
20.9853330459292,51.636902807812,81.7740837927026,7.81439304256414,61.2703814534692,-2.22044604925031e-16
21.8597219228429,51.4627276861441,82.9783598464626,8.2060247785368,61.6431879860703,-2.22044604925031e-15
22.7341107997566,51.2881708809157,84.1868740010356,8.60281858695316,62.0220677827327,1.11022302462516e-15
23.6084996766703,51.1118628634773,85.403207713193,9.00579937235882,62.4107668948443,-2.22044604925031e-16
24.482888553584,50.9322266327061,86.6273827625143,9.41469377607855,62.8093717929381,-1.99840144432528e-15
25.3572774304977,50.7518290956547,87.861075426917,9.83074338118311,63.2195742537191,-4.44089209850063e-16
26.2316663074115,50.5698256810335,89.103076279781,10.2533854882932,63.6401665494545,-3.10862446895044e-15
27.1060551843252,50.3863595156565,90.3496252254977,10.681298353578,64.0672549339135,-2.44249065417534e-15
27.9804440612389,50.2007078178548,91.5997708090543,11.114000160279,64.4998799619767,2.22044604925031e-16
28.8548329381526,50.0127151550771,92.8529461591887,11.5512670746448,64.9374631128505,-1.99840144432528e-15
29.7292218150663,49.8234170728622,94.1086382477609,11.9931325852961,65.379439219009,-6.43929354282591e-15
30.60361069198,49.6330762655366,95.3660797128718,12.4393612970206,65.8249980198706,1.77635683940025e-15
31.4779995688937,49.4413122346123,96.6243736448833,12.8895272578393,66.2732126321238,4.44089209850063e-16
32.3523884458075,49.2470009021871,97.888496144022,13.3453543397749,66.7293331413185,-3.10862446895044e-15
33.2267773227212,49.0494523191166,99.1668131432746,13.8100647271833,67.2021776551444,-1.33226762955019e-15
34.1011661996349,48.8488500240654,100.46142148576,14.2846547377018,67.6939915203223,0
34.9755550765486,48.6461624155405,101.763848534267,14.7660409880816,68.1958869507629,1.33226762955019e-15
35.8499439534623,48.4428477696335,103.059297216571,15.2485714307335,68.6922549040693,-4.44089209850063e-16
36.724332830376,48.2390874153891,104.345606494246,15.7313243137987,69.1807775433186,-3.5527136788005e-15
37.5987217072897,48.0342400432757,105.632759872007,16.2181717346865,69.6719700405418,2.44249065417534e-15
38.4731105842035,47.8269286258807,106.929148817118,16.7123104410164,70.1747505742733,-2.22044604925031e-16
39.3474994611172,47.6170367174356,108.235974703948,17.2142873955536,70.6904249633193,-4.44089209850063e-16
40.2218883380309,47.4036783766926,109.556235529365,17.7252758594706,71.2222433087291,6.21724893790088e-15
41.0962772149446,47.1864373256376,110.891875620162,18.2461308271498,71.7723350819838,4.21884749357559e-15
41.9706660918583,46.9670831056321,112.236038294935,18.7743935326225,72.3333989804853,3.99680288865056e-15
42.845054968772,46.7469069459824,113.572307664421,19.3033536736169,72.8879692237635,-3.99680288865056e-15
43.7194438456857,46.5280709095571,114.90064583736,19.833347087357,73.4358704872732,-1.77635683940025e-15
44.5938327225995,46.3065988472831,116.231089795061,20.3679122925386,73.9879496530012,-1.77635683940025e-15
45.4682215995132,46.0817415959333,117.566720284591,20.9082488071298,74.5475321274183,-4.44089209850063e-16
46.3426104764269,45.8550632148745,118.920730974025,21.4604377290758,75.1286220145158,-2.44249065417534e-15
47.2169993533406,45.6220831188803,120.302486722439,22.0280057154891,75.7415346124227,2.22044604925031e-16
48.0913882302543,45.3843360244188,121.702250311069,22.6071444590982,76.3758883691207,1.77635683940025e-15
48.965777107168,45.1467384552471,123.091945657632,23.186329511698,77.0014365383331,6.66133814775094e-16
49.8401659840818,44.9091939153219,124.472083593207,23.76573900153,77.618704324266,4.44089209850063e-15
50.7145548609955,44.6693866945695,125.859435013835,24.352386434308,78.245755110375,-2.22044604925031e-16
51.5889437379092,44.4266506314029,127.255794404432,24.9470516052274,78.8845870111147,-2.66453525910038e-15
52.4633326148229,44.1810905684076,128.659088728679,25.548876387919,79.5330015092628,-4.44089209850063e-15
53.3377214917366,43.9325994886244,130.069421580459,26.1580723289255,80.1911753565826,-3.10862446895044e-15
54.2121103686503,43.6802594259909,131.498164251087,26.7797910434817,80.8714397143464,8.88178419700125e-16
55.086499245564,43.4225899290524,132.948621553111,27.4154695430746,81.5775222934872,-4.44089209850063e-16
55.9608881224778,43.1610980542813,134.414371886162,28.0625353475372,82.3024850324047,-2.22044604925031e-15
56.8352769993915,42.8956000487803,135.891296468101,28.7193052606667,83.0419921127204,-4.88498130835069e-15
