z,r
0,77.8286190852995
0.956912912912913,80.2628174936907
1.91382582582583,82.6767088803674
2.87073873873874,85.0704986015323
3.82765165165165,87.4443985009647
4.78456456456456,89.7986259340871
5.74147747747748,92.133402857241
6.69839039039039,94.4489549791286
7.6553033033033,96.7455109712541
8.61221621621621,99.0233017345751
9.56912912912913,101.282559719368
10.526042042042,103.523518295771
11.482954954955,105.746411172192
12.4398678678679,107.951471859365
13.3967807807808,110.138933177316
14.3536936936937,112.309026803265
15.3106066066066,114.461982857978
16.2675195195195,116.598029528686
17.2244324324324,118.71739272639
18.1813453453453,120.820295775669
19.1382582582583,122.906959135149
20.0951711711712,124.977600146797
21.0520840840841,127.032432812499
22.008996996997,129.071667596036
22.9659099099099,131.095511249154
23.9228228228228,133.104166660165
24.8797357357357,135.097832723622
25.8366486486487,137.076704229682
26.7935615615616,139.040971772168
27.7504744744745,140.990821673629
28.7073873873874,142.926435926668
29.6643003003003,144.847992150174
30.6212132132132,146.755663559451
31.5781261261261,148.649618949392
32.535039039039,150.530022689492
33.491951951952,152.39703472999
34.4488648648649,154.250810618188
35.4057777777778,156.091501524217
36.3626906906907,157.919254275333
37.3196036036036,159.73421139819
38.2765165165165,161.536511168253
39.2334294294294,163.326287665773
40.1903423423423,165.103670837659
41.1472552552553,166.868786564737
42.1041681681682,168.62175673379
43.0610810810811,170.362699313794
44.017993993994,172.09172843605
44.9749069069069,173.808954477497
45.9318198198198,175.514484147063
46.8887327327327,177.208420574419
47.8456456456456,178.890863400755
48.8025585585586,180.561908871514
49.7594714714715,182.22164993027
50.7163843843844,183.870176313928
51.6732972972973,185.507574648626
52.6302102102102,187.133928546141
53.5871231231231,188.749318700692
54.544036036036,190.353822985658
55.500948948949,191.947516550252
56.4578618618619,193.530471915719
57.4147747747748,195.102759071074
58.3716876876877,196.664445568022
59.3286006006006,198.215596615093
60.2855135135135,199.756275170662
61.2424264264264,201.286542034866
62.1993393393393,202.806455940263
63.1562522522523,204.316073640996
64.1131651651652,205.815450000663
65.0700780780781,207.304638078421
66.026990990991,208.78368921356
66.9839039039039,210.252653108365
67.9408168168168,211.711577909119
68.8977297297297,213.160510285381
69.8546426426426,214.599495507265
70.8115555555556,216.028577520958
71.7684684684685,217.447799022152
72.7253813813814,218.857201527548
73.6822942942943,220.256825444429
74.6392072072072,221.64671013818
75.5961201201201,223.026893997721
76.553033033033,224.397414499073
77.5099459459459,225.758308266759
78.4668588588589,227.10961113325
79.4237717717718,228.451358196445
80.3806846846847,229.783583875004
81.3375975975976,231.106321961888
82.2945105105105,232.419605675743
83.2514234234234,233.72346771041
84.2083363363363,235.017940282641
