s,X,Y,Z
0.0,54.87464036823464,56.456051345519256,0.35365593129336215
10.980504319889555,53.3692008617816,68.83059658071015,3.6871990442850127
21.96100863977911,51.31633417853354,83.83293257157732,8.304157941402238
32.941512959668664,48.940508267095076,99.62495398418997,13.774182402503541
43.92201727955822,46.250408073884806,116.1655299090393,20.121393100391458
54.90252159944777,43.18780370854689,133.70401548545888,27.511909695433168
65.88302591933733,39.61503876684915,152.75512024932306,36.304439479947845
76.86353023922689,35.33867538005342,173.86842908898595,47.01062669185741
87.84403455911644,30.171438310472016,197.2442784616115,60.14987209356162
98.82453887900598,24.04301474796891,222.26099143622142,75.96588902009336
109.80504319889555,17.113392211082605,247.2833118411026,94.11482205022656
120.78554751878511,9.7591177151076,270.2568316790496,113.66329525208737
131.76605183867466,2.406712013242789,289.72225797840986,133.49637669296342
142.7465561585642,-4.616143263228416,305.2404105005726,152.71542035807468
153.72706047845378,-11.115581085595068,317.1166947502812,170.75621441232616
164.70756479834333,-17.003696383698802,325.9734173196015,187.33520228664594
175.68806911823287,-22.264380310376406,332.47301958118635,202.36718105228044
186.66857343812242,-26.930022151127787,337.1982658067961,215.9055523386634
197.64907775801197,-31.067686302976767,340.6194392711021,228.10675001766282
208.62958207790155,-34.771098234086644,343.0976615652885,239.21139133120914
219.6100863977911,-38.15736409076098,344.8995220605501,249.5397310196912
230.59059071768064,-41.3660059894507,346.2108340648157,259.4943497902782
241.57109503757022,-44.559665583865176,347.14523626146934,269.5672395963463
252.55159935745976,-47.928554344134824,347.7464550303203,280.3564876946296
263.5321036773493,-51.70348223321709,347.98463962153085,292.6062160041215
274.5126079972389,-56.18667403710708,347.75428090198534,307.2948355083472
285.4931123171284,-61.840478874594645,346.9182632839476,325.8882047705697
296.473616637018,-69.50957562689393,345.46348094449655,351.05643148384473
307.45412095690756,-80.44883569103573,343.0810146396336,386.9446626971787
318.4346252767971,-96.60616188149177,338.88618628608486,440.0611307878522
329.41512959668665,-120.85103169804273,331.01605085283825,520.0984826866967
340.3956339165762,-155.71968930862553,316.10553215967957,636.087990965178
351.37613823646575,-183.14719904303587,287.7683488747147,731.0821183394303
362.3566425563553,-194.29167663398226,258.78135653581813,774.1035833864898
373.33714687624484,-198.78635797887924,240.35807750747978,793.7319396991268
384.3176511961344,-200.29605344709995,232.37007507168428,801.1652145721041
395.29815551602394,-200.73206944747017,229.69968457378775,803.5478392720311
406.2786598359135,-201.06020919552722,227.46025046354043,805.5201593052764
417.2591641558031,-201.34963937006017,225.2518779804573,807.4440325884937
428.2396684756926,-201.60166771576544,223.07530154364613,809.320889958291
439.2201727955822,-201.81758598553404,220.93122259150533,811.1520664363002
450.20067711547176,-201.99867167519733,218.82030932092343,812.9388091090118
461.1811814353613,-202.14618931858578,216.74319688103833,814.6822840008693
472.16168575525086,-202.26139143924053,214.70048870331541,816.383581254628
483.14219007514043,-202.3455194184549,212.6927585339031,818.043719273031
494.12269439502995,-202.3998043682027,210.72055041092887,819.6636500026416
505.10319871491953,-202.42546785099202,208.7843787213907,821.2442637414008
516.0837030348091,-202.42372244395557,206.88473050614033,822.7863916114878
527.0642073546986,-202.3957723488876,205.02206570406418,824.2908094630893
538.0447116745881,-202.34281386543427,203.19681712343453,825.7582415901013
549.0252159944778,-202.26603580932414,201.4093911666521,827.1893636086652
560.0057203143673,-202.16661992567163,199.66016946211352,828.5848042655293
570.9862246342568,-202.04574122062505,197.94950858296315,829.9451486156788
