X,Y,Z
54.87464036823464,56.456051345519256,0.35365593129336215
53.3692008617816,68.83059658071015,3.6871990442850127
51.31633417853354,83.83293257157732,8.304157941402238
48.940508267095076,99.62495398418997,13.774182402503541
46.250408073884806,116.1655299090393,20.121393100391458
43.18780370854689,133.70401548545888,27.511909695433168
39.61503876684915,152.75512024932306,36.304439479947845
35.33867538005342,173.86842908898595,47.01062669185741
30.171438310472016,197.2442784616115,60.14987209356162
24.04301474796891,222.26099143622142,75.96588902009336
17.113392211082605,247.2833118411026,94.11482205022656
9.7591177151076,270.2568316790496,113.66329525208737
2.406712013242789,289.72225797840986,133.49637669296342
-4.616143263228416,305.2404105005726,152.71542035807468
-11.115581085595068,317.1166947502812,170.75621441232616
-17.003696383698802,325.9734173196015,187.33520228664594
-22.264380310376406,332.47301958118635,202.36718105228044
-26.930022151127787,337.1982658067961,215.9055523386634
-31.067686302976767,340.6194392711021,228.10675001766282
-34.771098234086644,343.0976615652885,239.21139133120914
-38.15736409076098,344.8995220605501,249.5397310196912
-41.3660059894507,346.2108340648157,259.4943497902782
-44.559665583865176,347.14523626146934,269.5672395963463
-47.928554344134824,347.7464550303203,280.3564876946296
-51.70348223321709,347.98463962153085,292.6062160041215
-56.18667403710708,347.75428090198534,307.2948355083472
-61.840478874594645,346.9182632839476,325.8882047705697
-69.50957562689393,345.46348094449655,351.05643148384473
-80.44883569103573,343.0810146396336,386.9446626971787
-96.60616188149177,338.88618628608486,440.0611307878522
-120.85103169804273,331.01605085283825,520.0984826866967
-155.71968930862553,316.10553215967957,636.087990965178
-183.14719904303587,287.7683488747147,731.0821183394303
-194.29167663398226,258.78135653581813,774.1035833864898
-198.78635797887924,240.35807750747978,793.7319396991268
-200.29605344709995,232.37007507168428,801.1652145721041
-200.73206944747017,229.69968457378775,803.5478392720311
-201.06020919552722,227.46025046354043,805.5201593052764
-201.34963937006017,225.2518779804573,807.4440325884937
-201.60166771576544,223.07530154364613,809.320889958291
