step,z_k,z_next,predictor,u_cur,v_cur,u_pred,v_pred,Phi_before,Phi_after,newton_iters,newton_conv,u_after,v_after,kappa_n,flag,ds_ratio,bisect_level,note
30,389.1054,402.0756,DAE,152.044142,1.626847,155.003074,1.638921,1.9326e-06,-2.6731e-11,1,1,155.003073,1.638921,-6.549295e-03,0,0.9739,0,OK
31,402.0756,415.0458,DAE,155.003073,1.638921,157.706537,1.651126,-7.3170e-06,1.3998e-11,1,1,157.706541,1.651126,-6.930972e-03,0,0.9803,0,OK
32,415.0458,428.016,DAE,157.706541,1.651126,160.202294,1.663485,-6.5978e-06,3.5953e-12,1,1,160.202298,1.663485,-7.267683e-03,0,0.9856,0,OK
33,428.016,440.9862,DAE,160.202298,1.663485,162.527883,1.676012,-6.0498e-06,-1.3515e-11,1,1,162.527886,1.676012,-7.561134e-03,0,0.9899,0,OK
34,440.9862,453.9563,DAE,162.527886,1.676012,164.713277,1.688722,-5.6198e-06,1.5120e-11,1,1,164.71328,1.688722,-7.813261e-03,0,0.9934,0,OK
35,453.9563,466.9265,DAE,164.71328,1.688722,166.782793,1.701627,-4.1209e-06,-2.5082e-11,1,1,166.782795,1.701627,-8.026018e-03,0,0.9963,0,OK
36,466.9265,479.8967,DAE,166.782795,1.701627,168.756454,1.714738,-4.3885e-06,6.7928e-12,1,1,168.756456,1.714738,-8.201268e-03,0,0.9987,0,OK
37,479.8967,492.8669,DAE,168.756456,1.714738,170.651021,1.728068,-2.4455e-06,3.9819e-11,1,1,170.651022,1.728068,-8.340709e-03,0,1.0006,0,OK
38,492.8669,505.8371,DAE,170.651022,1.728068,172.480759,1.741629,-1.1553e-06,2.6660e-11,1,1,172.480759,1.741629,-8.445851e-03,0,1.0023,0,OK
39,505.8371,518.8072,DAE,172.480759,1.741629,174.258012,1.755434,-8.4294e-07,2.4102e-11,1,1,174.258012,1.755434,-8.517995e-03,0,1.0038,0,OK
