step,z_k,z_next,predictor,u_cur,v_cur,u_pred,v_pred,Phi_before,Phi_after,newton_iters,newton_conv,u_after,v_after,kappa_n,flag,ds_ratio,bisect_level,note
138,1789.885,1802.8552,DAE,152.550342,5.534685,149.327823,5.553348,-1.1828e-05,1.3102e-11,1,1,149.327832,5.553348,-6.728986e-03,0,1.0232,0,OK
139,1802.8552,1815.8254,DAE,149.327832,5.553348,145.751699,5.572293,-1.1469e-05,1.3301e-11,1,1,145.751708,5.572293,-6.305490e-03,0,1.0287,0,OK
140,1815.8254,1828.7955,DAE,145.751708,5.572293,141.72992,5.591558,-2.3617e-05,1.5234e-11,1,1,141.729941,5.591558,-5.833507e-03,0,1.0357,0,OK
141,1828.7955,1841.7657,DAE,141.729941,5.591558,137.139585,5.611186,-2.6119e-05,-1.3884e-11,1,1,137.139611,5.611186,-5.314729e-03,0,1.0444,0,OK
142,1841.7657,1854.7359,DAE,137.139611,5.611186,131.815839,5.63123,-1.3537e-05,9.0523e-12,1,1,131.815854,5.63123,-4.754357e-03,0,1.0550,0,OK
143,1854.7359,1867.7061,DAE,131.815854,5.63123,125.542902,5.651778,-1.4026e-05,-1.6399e-11,1,1,125.542921,5.651778,-4.163765e-03,0,1.0670,0,OK
144,1867.7061,1880.6763,DAE,125.542921,5.651778,118.066708,5.672992,5.0309e-06,3.8085e-12,1,1,118.0667,5.672992,-3.565131e-03,0,1.0772,0,OK
145,1880.6763,1893.6464,DAE,118.0667,5.672992,109.194163,5.695224,4.7476e-06,8.7681e-12,1,1,109.194155,5.695224,-2.998795e-03,0,1.0775,0,OK
146,1893.6464,1906.6166,DAE,109.194155,5.695224,99.082759,5.71914,4.4880e-07,-3.5271e-11,1,1,99.082758,5.71914,-2.531113e-03,0,1.0549,0,OK
147,1906.6166,1919.5868,DAE,99.082758,5.71914,88.5317,5.745522,-2.0437e-06,7.2191e-12,1,1,88.531704,5.745522,-2.245975e-03,0,1.0094,0,OK
148,1919.5868,1932.557,DAE,88.531704,5.745522,78.575164,5.774628,1.8372e-07,-5.9970e-12,1,1,78.575164,5.774628,-2.190999e-03,0,0.9690,0,OK
149,1932.557,1945.5272,DAE,78.575164,5.774628,69.741102,5.806196,1.2957e-06,-1.2790e-11,1,1,69.7411,5.806196,-2.325428e-03,0,0.9527,0,OK
150,1945.5272,1958.4974,DAE,69.7411,5.806196,62.03828,5.840024,-2.5350e-06,2.7086e-11,1,1,62.038283,5.840024,-2.563850e-03,0,0.9532,0,OK
151,1958.4974,1971.4675,DAE,62.038283,5.840024,55.286116,5.876161,1.3170e-07,1.6485e-11,1,1,55.286116,5.876161,-2.839439e-03,0,0.9605,0,OK
152,1971.4675,1984.4377,DAE,55.286116,5.876161,49.291165,5.914846,-6.6094e-07,-1.5518e-11,1,1,49.291165,5.914846,-3.113180e-03,0,0.9694,0,OK
153,1984.4377,1997.4079,DAE,49.291165,5.914846,43.892654,5.956429,-1.3936e-06,-1.5348e-12,1,1,43.892655,5.956429,-3.362102e-03,0,0.9782,0,OK
154,1997.4079,2010.3781,DAE,43.892655,5.956429,38.962066,6.001289,-1.8514e-06,-3.4390e-12,1,1,38.962068,6.001289,-3.570889e-03,0,0.9862,0,OK
155,2010.3781,2023.3483,DAE,38.962068,6.001289,34.365628,6.049093,-8.6482e-07,-3.5669e-12,1,1,34.365628,6.049093,-3.728667e-03,0,0.9915,0,OK
156,2023.3483,2036.3184,DAE,34.365628,6.049093,29.980335,6.099288,1.8071e-07,-1.2790e-11,1,1,29.980335,6.099288,-3.828635e-03,0,0.9968,0,OK
157,2036.3184,2049.2886,DAE,29.980335,6.099288,25.735997,6.152405,-1.8133e-07,-3.5385e-12,1,1,25.735997,6.152405,-3.866335e-03,0,1.0025,0,OK
158,2049.2886,2062.2588,DAE,25.735997,6.152405,21.57063,6.209197,-1.3299e-06,1.0246e-11,1,1,21.570631,6.209197,-3.840410e-03,0,1.0083,0,OK
159,2062.2588,2075.229,DAE,21.570631,6.209197,17.426506,6.270628,-1.7886e-06,1.7728e-11,1,1,17.426507,6.270628,-3.755911e-03,0,1.0140,0,OK
160,2075.229,2088.1992,FALLBACK_EULER,17.426507,6.270628,17.426507,-0.012557,7.1988e+00,1.8261e-12,129,1,13.421968,0.059587,-3.627399e-03,1,53.5940,7,"JUMP_DETECTED_RATIO=53.59;FALLBACK_BISECT=7,conv=True"
161,2088.1992,2101.1693,OPTICAL,13.421968,0.059587,13.421968,0.059587,7.3354e+00,-3.2117e-12,4,1,9.613116,0.14524,-3.498028e-03,0,1.0169,0,OK
162,2101.1693,2114.1395,OPTICAL,9.613116,0.14524,9.613116,0.14524,7.4650e+00,2.6361e-12,4,1,6.558342,0.257283,-3.427681e-03,0,0.9980,0,OK
163,2114.1395,2127.1097,OPTICAL,6.558342,0.257283,6.558342,0.257283,7.5917e+00,9.5852e-12,4,1,4.440144,0.389938,-3.548212e-03,0,0.9668,0,OK
164,2127.1097,2140.0799,OPTICAL,4.440144,0.389938,4.440144,0.389938,7.7105e+00,1.1074e-11,4,1,3.103375,0.531464,-3.892134e-03,0,0.9444,0,OK
165,2140.0799,2153.0501,OPTICAL,3.103375,0.531464,3.103375,0.531464,7.8180e+00,-2.8102e-12,4,1,2.272666,0.67447,-4.365012e-03,0,0.9404,0,OK
166,2153.0501,2166.0202,OPTICAL,2.272666,0.67447,2.272666,0.67447,7.9153e+00,1.6378e-12,4,1,1.755974,0.816982,-4.842075e-03,0,0.9518,0,OK
167,2166.0202,2178.9904,OPTICAL,1.755974,0.816982,1.755974,0.816982,8.0057e+00,3.7694e-12,4,1,1.449473,0.959497,-5.236317e-03,0,0.9722,0,OK
168,2178.9904,2191.9606,OPTICAL,1.449473,0.959497,1.449473,0.959497,8.0920e+00,-5.2974e-13,4,1,1.30181,1.103329,-5.497913e-03,0,0.9943,0,OK
169,2191.9606,2204.9308,OPTICAL,1.30181,1.103329,0.0,0.646767,2.9574e+01,9.1660e-13,4,1,0.016346,1.252679,-5.602377e-03,0,1.1257,0,OK
170,2204.9308,2217.901,OPTICAL,0.016346,1.252679,1.503876,1.558371,-8.7270e+00,-8.1712e-14,3,1,1.05776,1.40296,-5.808980e-03,0,1.0584,0,OK
171,2217.901,2230.8712,OPTICAL,1.05776,1.40296,0.0,1.267118,1.5385e+01,-3.3751e-12,3,1,0.1822,1.56951,-5.398831e-03,0,1.0954,0,OK
172,2230.8712,2243.8413,FALLBACK_EULER,0.1822,1.56951,0.0,1.551448,N/A,1.9895e-13,2,1,1.509346,1.730229,-5.254679e-03,4,N/A,0,"PREDICTOR_OUT_OF_BOUNDS;FALLBACK_BISECT=0,conv=True"
173,2243.8413,2256.8115,FALLBACK_EULER,1.509346,1.730229,0.0,1.622708,N/A,3.4532e-12,2,1,3.417842,1.888452,-4.640082e-03,4,N/A,0,"PREDICTOR_OUT_OF_BOUNDS;FALLBACK_BISECT=0,conv=True"
174,2256.8115,2269.7817,OPTICAL,3.417842,1.888452,0.0,1.709103,1.7975e+01,3.4355e-11,3,1,1.178411,2.128098,-4.077312e-03,0,1.3687,0,OK
175,2269.7817,2282.7519,OPTICAL,1.178411,2.128098,0.0,2.074915,1.1121e+01,6.9349e-12,4,1,1.404254,2.360586,-3.714898e-03,0,0.9877,0,OK
176,2282.7519,2295.7221,FALLBACK_EULER,1.404254,2.360586,0.0,2.311435,N/A,4.6469e-12,3,1,5.441689,2.506471,-3.196262e-03,4,N/A,0,"PREDICTOR_OUT_OF_BOUNDS;FALLBACK_BISECT=0,conv=True"
177,2295.7221,2308.6922,FALLBACK_EULER,5.441689,2.506471,0.0,2.366442,N/A,5.6843e-12,3,1,10.3479,2.594566,-3.047667e-03,4,N/A,0,"PREDICTOR_OUT_OF_BOUNDS;FALLBACK_BISECT=0,conv=True"
178,2308.6922,2321.6624,OPTICAL,10.3479,2.594566,0.0,2.389504,2.3207e+01,2.2311e-12,5,1,7.036372,3.080913,-3.235607e-03,0,2.7312,0,OK
179,2321.6624,2334.6326,FALLBACK_EULER,7.036372,3.080913,0.0,2.986338,N/A,7.6739e-13,3,1,12.863394,3.0521,-2.706288e-03,4,N/A,0,"PREDICTOR_OUT_OF_BOUNDS;FALLBACK_BISECT=0,conv=True"
180,2334.6326,2347.6028,FALLBACK_EULER,12.863394,3.0521,0.0,2.888133,N/A,-5.6701e-12,2,1,18.535814,3.015738,-3.218308e-03,4,N/A,0,"PREDICTOR_OUT_OF_BOUNDS;FALLBACK_BISECT=0,conv=True"
181,2347.6028,2360.573,FALLBACK_EULER,18.535814,3.015738,0.0,2.793825,3.1116e+01,-4.0785e-12,2,1,24.251192,2.982769,-3.588406e-03,4,4.6001,0,"JUMP_DETECTED_RATIO=4.60;FALLBACK_BISECT=0,conv=True"
182,2360.573,2373.5431,DAE,24.251192,2.982769,30.139693,2.956791,-9.6223e-08,2.3448e-12,1,1,30.139693,2.956791,-3.809901e-03,0,1.0155,0,OK
183,2373.5431,2386.5133,DAE,30.139693,2.956791,36.39416,2.936201,-3.5731e-07,6.1959e-12,1,1,36.394159,2.936201,-3.887328e-03,0,1.0266,0,OK
184,2386.5133,2399.4835,DAE,36.394159,2.936201,43.162922,2.920961,-8.1901e-07,5.1017e-12,1,1,43.162921,2.920961,-3.835367e-03,0,1.0365,0,OK
185,2399.4835,2412.4537,DAE,43.162921,2.920961,50.585417,2.911024,1.4379e-06,3.3111e-12,1,1,50.585418,2.911024,-3.674931e-03,0,1.0444,0,OK
186,2412.4537,2425.4239,DAE,50.585418,2.911024,58.777698,2.906364,2.7502e-06,-1.0090e-12,1,1,58.7777,2.906364,-3.434657e-03,0,1.0489,0,OK
187,2425.4239,2438.3941,DAE,58.7777,2.906364,67.800714,2.906826,5.1568e-06,9.2655e-12,1,1,67.800719,2.906826,-3.149432e-03,0,1.0483,0,OK
188,2438.3941,2451.3642,DAE,67.800719,2.906826,77.608774,2.91171,4.8386e-06,9.4644e-12,1,1,77.608779,2.91171,-2.860173e-03,0,1.0406,0,OK
189,2451.3642,2464.3344,DAE,77.608779,2.91171,87.988497,2.919149,1.9004e-06,-2.9559e-12,1,1,87.988499,2.919149,-2.616329e-03,0,1.0238,0,OK
190,2464.3344,2477.3046,DAE,87.988499,2.919149,98.524296,2.925933,3.2966e-06,8.6686e-12,1,1,98.524299,2.925933,-2.477066e-03,0,0.9981,0,OK
191,2477.3046,2490.2748,DAE,98.524299,2.925933,108.644764,2.929005,-8.5576e-06,7.3186e-12,1,1,108.644755,2.929005,-2.500438e-03,0,0.9686,0,OK
192,2490.2748,2503.245,DAE,108.644755,2.929005,117.823557,2.927728,2.1450e-07,-5.7696e-12,1,1,117.823557,2.927728,-2.716295e-03,0,0.9446,0,OK
193,2503.245,2516.2151,DAE,117.823557,2.927728,125.834619,2.923809,-3.1394e-06,2.7995e-12,1,1,125.834616,2.923809,-3.103549e-03,0,0.9329,0,OK
194,2516.2151,2529.1853,DAE,125.834616,2.923809,132.759575,2.919288,-2.1903e-06,1.0232e-11,1,1,132.759574,2.919288,-3.604301e-03,0,0.9320,0,OK
195,2529.1853,2542.1555,DAE,132.759574,2.919288,138.809683,2.915432,5.2436e-07,3.6664e-12,1,1,138.809684,2.915432,-4.160082e-03,0,0.9373,0,OK
196,2542.1555,2555.1257,DAE,138.809684,2.915432,144.199674,2.912764,-1.1072e-06,-3.1264e-12,1,1,144.199673,2.912764,-4.729441e-03,0,0.9461,0,OK
197,2555.1257,2568.0959,DAE,144.199673,2.912764,149.108908,2.911369,2.5772e-06,-9.6065e-12,1,1,149.10891,2.911369,-5.286055e-03,0,0.9570,0,OK
198,2568.0959,2581.066,DAE,149.10891,2.911369,153.687687,2.910663,-6.2934e-06,5.1159e-12,1,1,153.687683,2.910663,-5.812510e-03,0,0.9707,0,OK
