s,X,Y,Z,lambda,valid,phi
483.14219007514043,-227.70485257141965,207.025286986296,903.032700490663,605.6058654837276,True,-2.1316282072803006e-14
494.12269439502995,-227.80288014997674,204.70210937996382,905.0495696433495,596.7343927964904,True,-7.105427357601002e-15
505.10319871491953,-227.86841595724516,202.41269063131702,907.0304132268586,587.8252483225139,True,0.0
516.0837030348091,-227.90265829466102,200.1575365907426,908.9761977732603,578.8794427599798,True,0.0
527.0642073546986,-227.9067803113672,197.93712928324186,910.8877798036881,569.8978717695084,True,7.105427357601002e-15
538.0447116745881,-227.88193290620222,195.75192798391055,912.7659163988192,560.8813270275422,True,1.4210854715202004e-14
549.0252159944778,-227.8292472849713,193.6023701596838,914.6112745715792,551.8305060264678,True,0.0
560.0057203143673,-227.74983722057385,191.488872289938,916.4244395875332,542.7460207758515,True,-7.105427357601002e-15
570.9862246342568,-227.6448010539798,189.4118305838394,918.2059223843144,533.6284055612905,True,7.105427357601002e-15
581.9667289541464,-227.515223531433,187.37162158665902,919.9561664287484,524.4781241143102,True,0.0
592.947233274036,-227.36217706965923,185.3686028353883,921.675552588472,515.29557470628,True,1.4210854715202004e-14
603.9277375939255,-227.1867237885296,183.40311311340037,923.3644066510963,506.08109801196997,True,2.1316282072803006e-14
614.9082419138151,-226.9899161414598,181.47547307743298,925.0230019977723,496.8349799052197,True,0.0
625.8887462337046,-226.77279834427114,179.5859855047389,926.6515650515448,487.55745715546954,True,1.4210854715202004e-14
636.8692505535942,-226.53640731800382,177.73493561365606,928.2502790369635,478.2487213596839,True,7.105427357601002e-15
647.8497548734837,-226.28177357250536,175.92259132295726,929.81928754243,468.90892266786216,True,-1.4210854715202004e-14
658.8302591933733,-226.0099220107432,174.149203465551,931.3586978248707,459.53817323825433,True,1.4210854715202004e-14
669.8107635132628,-225.72187269626525,172.4150059417354,932.8685840032981,450.1365505765262,True,2.1316282072803006e-14
680.7912678331523,-225.41864115996503,170.72021601644514,934.3489886186181,440.70409916616114,True,1.4210854715202004e-14
691.771772153042,-225.10123966902137,169.06503410402678,935.7999273924996,431.24083547072297,True,-2.1316282072803006e-14
702.7522764729315,-224.7706739370951,167.44964580066048,937.2213909383031,421.746748528846,True,-7.105427357601002e-15
713.732780792821,-224.0915107209883,164.3616270754432,939.9444731206311,413.6177733006116,True,1.9984014443252818e-15
724.7132851127107,-221.9794590726853,155.55032824039233,947.6062522509619,410.74907090356345,True,-8.881784197001252e-15
735.6937894326002,-217.1825913264035,137.66956182471623,962.4355608284795,415.9698338751642,True,-1.0658141036401503e-14
746.6742937524897,-208.3167281849036,108.80280400858938,984.0847653346163,430.18750519351596,True,-1.4210854715202004e-14
757.6547980723793,-194.31124426268076,69.66991047017993,1008.531531674962,451.0374377678121,True,0.0
768.6353023922688,-175.46231944405633,24.616636536728464,1029.372823344916,473.0560515163826,True,-1.4210854715202004e-14
779.6158067121584,-153.99101109244648,-20.08668332902397,1042.4002505203032,491.2370686931163,True,-2.842170943040401e-14
790.5963110320479,-132.76597358357702,-59.574317175112355,1047.588792914106,503.4191311752613,True,2.842170943040401e-14
801.5768153519375,-113.7824023114947,-91.8694668597717,1047.2180642247072,509.7302870261201,True,2.842170943040401e-14
812.557319671827,-97.79041249384551,-117.2861337469995,1043.8103746325874,511.4016429475571,True,-8.526512829121202e-14
823.5378239917166,-84.64195741143197,-137.1267155162045,1039.1164542137358,509.7726763444593,True,0.0
834.5183283116062,-73.75790200671076,-152.82986012050418,1034.060046120871,505.9134660249847,True,8.526512829121202e-14
845.4988326314957,-64.49049559528936,-165.66271592753606,1028.9911830521394,500.5986682765005,True,-2.842170943040401e-14
856.4793369513852,-56.2473957768145,-176.64074118604523,1023.9430834803641,494.37765515045135,True,0.0
867.4598412712749,-48.528277619860006,-186.53576173774758,1018.7946699298128,487.63785542116125,True,-2.842170943040401e-14
878.4403455911644,-40.931040871046335,-195.90883057632817,1013.3612636591889,480.6503054390752,True,2.842170943040401e-14
