s,u_geo,v_geo,u_dae,v_dae,X_geo,Y_geo,Z_geo,X_dae,Y_dae,Z_dae,Phi,diff_3d
0.0,1.0471975511965976,0.5235987755982988,1.0471975511965976,0.5235987755982988,1.0392304845413267,1.5,0.7999999999999999,1.0392304845413267,1.5,0.7999999999999999,0.0,0.0
0.010003334444814937,1.0513013878198618,0.526478870972969,1.0513005223027332,0.5264797961322483,1.0301148115605414,1.5010350288048637,0.8039874537209913,1.030115816672372,1.5010334787130892,0.8039887335219973,-1.554312234475219e-14,2.247426287178751e-06
0.020006668889629875,1.055416419161694,0.5293463004428112,1.0554146887746716,0.5293481571375233,1.0209853800911788,1.502041188383147,0.8079507466112728,1.0209873899852002,1.5020380845539327,0.8079533107419747,-1.5210055437364645e-14,4.49979955396964e-06
0.030010003334444812,1.0595427360245504,0.532201015067221,1.0595401415472632,0.5322038096871203,1.01184237208236,1.5030185865214014,0.8118898664231315,1.0118453863468901,1.5030139253450578,0.8118937193838568,-1.509903313490213e-14,6.757045353862495e-06
0.04001333777925975,1.0636804285137837,0.5350429656730716,1.0636769708604692,0.5350467046204964,1.0026859679741678,1.503967330408233,0.8158048015660285,1.0026899861154723,1.5039611083111226,0.8158099478279566,-1.4988010832439613e-14,9.01908885792865e-06
0.05001667222407469,1.067829586021079,0.5378721028467897,1.0678252662428946,0.5378767925355159,0.9935163467127782,1.5048875266293755,0.8196955410871244,0.9935213681549823,1.5048797400741607,0.8197019850913523,-1.509903313490213e-14,1.1285854615898588e-05
0.060020006668889625,1.0719902972075395,0.5406883769266801,1.0719851164948646,0.5406940237807777,0.9843336857656171,1.505779281163041,0.8235620746521493,0.9843397098506457,1.505769926648907,0.8235698208087844,-1.482147737874584e-14,1.3557266602463746e-05
0.07002334111370456,1.076162650018703,0.5434917379880314,1.0761566096834034,0.5434983484626384,0.9751381610825691,1.5066426994085722,0.8274043925163803,0.9751451870934152,1.5066317734351977,0.8274134452336752,-1.4988010832439613e-14,1.583330076172401e-05
0.0800266755585195,1.08034673165781,0.5462821358404675,1.080339833122686,0.5462897164351115,0.9659299471247549,1.5074778861698408,0.8312224855124587,0.9659379743004475,1.5074653852140436,0.8312328492155286,-1.482147737874584e-14,1.811396662150849e-05
0.09003001000333444,1.084542628443904,0.5490595200481904,1.0845348733081337,0.5490680772365444,0.9567092170879774,1.508284945526712,0.835016345069374,0.9567182445501421,1.5082708661568296,0.8350280241047225,-1.4932499681208355e-14,2.0399107727831276e-05
0.10003334444814937,1.0887504259031835,0.5518238398950703,1.0887418159378552,0.5518333801307306,0.947476142736484,1.509063980947383,0.8387859631559081,0.9474861694971877,1.509048319811541,0.8387989618003582,-1.482147737874584e-14,2.2688584433764106e-05
