s,X,Y,Z,lambda,valid,phi
329.41512959668665,-140.93232126541244,346.2485134406543,582.3081190376328,437.08017258648425,True,2.842170943040401e-14
340.3956339165762,-152.26124613774516,314.4778893135709,625.1819203775563,463.80773434287426,True,5.684341886080802e-14
351.37613823646575,-158.0542519968365,282.1026680209686,650.6874671851301,475.3931510517688,True,2.1316282072803006e-14
362.3566425563553,-161.2592983269417,257.2357627170679,666.8984736911013,479.8289374873427,True,-1.4210854715202004e-14
373.33714687624484,-162.73113245378605,242.45737285370933,675.691779355384,477.7108222802805,True,-9.769962616701378e-15
384.3176511961344,-163.22444988341965,236.19451210703488,679.2722500207225,470.4452934518337,True,7.438494264988549e-15
395.29815551602394,-163.35474170945412,234.12445334915233,680.4440277066674,460.6898563257966,True,-7.105427357601002e-15
406.2786598359135,-163.44020094298065,232.4010833732162,681.4195916820386,450.7294952498756,True,1.0658141036401503e-14
417.2591641558031,-163.5025938292045,230.7144490974091,682.3748330853206,440.7478828750567,True,-1.0658141036401503e-14
428.2396684756926,-163.54286731689822,229.06493334102998,683.309698029077,430.7449629143314,True,-1.0658141036401503e-14
439.2201727955822,-163.56197326339014,227.45290132081968,684.2241263047978,420.7206724156107,True,3.552713678800501e-15
450.20067711547176,-163.5608688321139,225.87870054771167,685.1180530882116,410.6749435920998,True,1.0658141036401503e-14
461.1811814353613,-163.54051577970003,224.34266087674763,685.9914074001415,400.6077022214224,True,1.7763568394002505e-14
472.16168575525086,-163.50188100370528,222.84509433221788,686.844114860947,390.51887052490775,True,3.552713678800501e-15
483.14219007514043,-163.445936010963,221.38629510960175,687.6760968498634,380.4083662890387,True,-1.0658141036401503e-14
494.12269439502995,-163.37365697809045,219.96653946186814,688.487271642251,370.27610405488866,True,-1.0658141036401503e-14
505.10319871491953,-163.28602444489118,218.58608565595836,689.277554333158,360.1219950377663,True,3.552713678800501e-15
516.0837030348091,-163.1840232135309,217.2451738802535,690.0468574520547,349.9459477698832,True,1.0658141036401503e-14
527.0642073546986,-163.06864205257477,215.94402619329537,690.7950909207808,339.7478680569214,True,7.105427357601002e-15
538.0447116745881,-162.94087359361495,214.6828464228292,691.5221626731682,329.5276596258811,True,1.7763568394002505e-14
549.0252159944778,-162.80171402972854,213.4618201155854,692.2279786146986,319.2852240823737,True,7.105427357601002e-15
560.0057203143673,-162.65216286273204,212.28111447378805,692.9124427422872,309.02046103626986,True,-7.105427357601002e-15
570.9862246342568,-162.49322279968015,211.14087824312242,693.5754577848452,298.7332687717458,True,-7.105427357601002e-15
581.9667289541464,-162.3258991896259,210.04124175035605,694.2169242744144,288.42354327563925,True,-1.7763568394002505e-14
592.947233274036,-162.15120000876254,208.98231676912368,694.8367415005565,278.09117923528527,True,0.0
603.9277375939255,-161.9701355156451,207.96419648782864,695.4348073346524,267.7360698552341,True,0.0
614.9082419138151,-161.78371792995353,206.9869554782343,696.0110181383241,257.35810676143404,True,-3.552713678800501e-15
625.8887462337046,-161.59296101641087,206.05064971040161,696.565268338289,246.9571795562423,True,1.4210854715202004e-14
636.8692505535942,-161.39888009297277,205.15531640121367,697.0974514899041,236.53317693085123,True,7.105427357601002e-15
647.8497548734837,-161.20249139714113,204.30097411973227,697.6074590869271,226.0859854208449,True,-3.552713678800501e-15
658.8302591933733,-161.0048119310303,203.4876227128322,698.0951810539756,215.6154899209161,True,0.0
669.8107635132628,-160.8068591208239,202.71524330870588,698.5605055848029,205.1215735156082,True,-3.552713678800501e-15
680.7912678331523,-160.6096504276482,201.9837983495297,699.0033188037571,194.60411712503077,True,-7.105427357601002e-15
691.771772153042,-160.41420318532275,201.2932315248021,699.423505115269,184.0629998814059,True,0.0
702.7522764729315,-160.2215327081513,200.64346861776724,699.8209467865252,173.4980982000495,True,-1.0658141036401503e-14
713.732780792821,-159.85083008065135,199.45551862943643,700.5513510573138,163.28297115604454,True,-6.8833827526759706e-15
724.7132851127107,-158.78783275071936,196.21948424673312,702.5386172502747,154.41860526923216,True,-3.9968028886505635e-15
735.6937894326002,-156.6332447276159,190.00448494442384,706.3022856267796,147.6241198847307,True,7.105427357601002e-15
746.6742937524897,-153.17626471801574,180.53227229669483,711.8546551631048,143.31676737553835,True,-7.105427357601002e-15
757.6547980723793,-148.46293685943016,168.21080210065168,718.6971542542416,141.49529047615815,True,1.7763568394002505e-14
768.6353023922688,-142.8104386565461,154.0620738199483,725.99065187584,141.60015925061262,True,7.105427357601002e-15
779.6158067121584,-136.73057896804488,139.44748233881006,732.8820018895185,142.59596559722317,True,-2.842170943040401e-14
790.5963110320479,-130.7643867481045,125.61451583303192,738.8150933825067,143.36343028551184,True,3.552713678800501e-14
801.5768153519375,-125.31689650186775,113.34981569578457,743.6156123869176,143.09361775971644,True,1.4210854715202004e-14
812.557319671827,-120.58790645552534,102.92461467634305,747.3726224528323,141.41807524557467,True,-2.1316282072803006e-14
823.5378239917166,-116.5897574553117,94.24310023858567,750.2866767745165,138.32241869797673,True,1.4210854715202004e-14
834.5183283116062,-113.21286649602949,87.0184000013208,752.5737839155756,134.00165132070788,True,4.263256414560601e-14
845.4988326314957,-110.30552783073011,80.89100299549017,754.4221081179445,128.74395148010353,True,7.105427357601002e-15
856.4793369513852,-107.71162496428308,75.5064156860333,755.9814068521912,122.85347592934828,True,-2.842170943040401e-14
867.4598412712749,-105.28958483658099,70.55463219246013,757.3645864379778,116.60819999899935,True,-2.842170943040401e-14
878.4403455911644,-102.92067876960488,65.78455738516458,758.652893993324,110.2417498043523,True,-7.105427357601002e-15
889.4208499110539,-100.51060634830203,61.003885129636984,759.9018318687472,103.94003879635922,True,-2.842170943040401e-14
900.4013542309435,-97.98721148058654,56.071300670255525,761.1468086642984,97.84616314710551,True,1.4210854715202004e-14
911.381858550833,-95.29648745915328,50.88583156669122,762.4080251113086,92.06868108523112,True,3.552713678800501e-14
922.3623628707226,-92.39864787033414,45.37703064764125,763.6941749493894,86.68941290605164,True,2.842170943040401e-14
933.3428671906122,-89.26561503445545,39.49886434886159,765.0046495621671,81.76766489328138,True,2.1316282072803006e-14
944.3233715105017,-85.88085890699661,33.22881239730739,766.3302130180151,77.33901544524119,True,-2.1316282072803006e-14
955.3038758303912,-82.24154950376304,26.5717796340639,767.6526043376779,73.40882319300042,True,-3.552713678800501e-14
966.2843801502809,-78.62856180720706,20.252665008545755,768.5399998081919,69.10324875244677,True,1.4210854715202004e-14
977.2648844701704,-75.51502484605112,15.316103115628806,768.53999985232,63.20835973140831,True,2.4868995751603507e-14
988.2453887900599,-72.44580593999072,10.46242603222526,768.5399998051026,57.34776811489926,True,1.4210854715202004e-14
999.2258931099494,-69.46701670814245,5.766674832501252,768.5399999640989,51.427056958952846,True,-3.552713678800501e-15
1010.2063974298391,-66.60628630137194,1.2756990640273358,768.5399998306946,45.37843058963838,True,5.3290705182007514e-14
1021.1869017497286,-63.86505117410455,-3.00472841639953,768.539999885786,39.17912253693974,True,-3.907985046680551e-14
1032.1674060696182,-61.215539338479346,-7.114894309695,768.5399999636257,32.86076588357312,True,-7.105427357601002e-15
1043.1479103895076,-58.60381775409917,-11.136264803370116,768.5399999983978,26.506476015269687,True,-4.707345624410664e-14
1054.1284147093972,-55.960349258589105,-15.175139006539881,768.5399998555285,20.233007658471504,True,1.687538997430238e-14
1065.1089190292869,-53.21945667111193,-19.333674987668584,768.539999978457,14.155632381229019,True,-5.3512749786932545e-14
1076.0894233491763,723.3031344574517,-1292.5356094245121,897.0121739131985,inf,False,
1087.069927669066,764.1960531259507,-1285.6339549705924,812.4964973745213,inf,False,
1098.0504319889556,-4.155679093263629,-91.48486063535273,766.4498338133099,68.44622385769067,True,-1.2878587085651816e-14
1109.030936308845,15.161011503113414,-115.48566520509279,760.1969718462639,88.5303930027355,True,-1.2434497875801753e-14
1120.0114406287346,38.73563231008138,-143.4301322581816,750.7274025698019,114.87943897970537,True,-4.085620730620576e-14
1130.9919449486242,62.69167967690467,-170.21404101673474,738.7874603284675,141.20787181044173,True,-4.263256414560601e-14
1141.9724492685136,84.67740948838,-193.285752819577,725.5254569017947,164.03694816006305,True,-2.842170943040401e-14
1152.9529535884033,104.9863337822817,-213.36294643757162,711.2623343868783,184.11419948148267,True,-2.842170943040401e-14
1163.933457908293,124.70997203124261,-231.84139543971594,695.6580143589887,203.32226059152092,True,-7.105427357601002e-15
1174.9139622281823,144.81655211497835,-249.7509037126439,678.1162425332325,223.2842681315575,True,-4.263256414560601e-14
1185.894466548072,165.6552118070323,-267.31685539964144,658.1928107160909,244.6483410746276,True,1.4210854715202004e-14
1196.8749708679616,186.05988287148273,-283.1715825426819,636.390926513558,265.7063868792431,True,-1.4210854715202004e-14
