z,u,v,Phi,kappa_n,newton_iters,flag
0.0,5.167063036183287e-11,3.069508731032226,0.0,-0.0017640565107357865,0,0
4.0071306430904245,0.0,0.0,0.0,-0.0017641186379744624,0,0
8.014261286180849,0.0,0.0,0.0,-0.0017641067530736463,0,0
12.021391929271275,0.0,0.0,0.0,-0.0017640855734335247,0,0
16.028522572361698,0.0,0.0,0.0,-0.0017640761978795214,0,0
20.035653215452122,0.0,0.0,0.0,-0.0017640691458154748,0,0
24.04278385854255,0.0,0.0,0.0,-0.0017640644965843783,0,0
28.049914501632973,0.0,0.0,0.0,-0.0017640612267538012,0,0
32.057045144723396,0.0,0.0,0.0,-0.001764059011287823,0,0
36.064175787813824,0.0,0.0,0.0,-0.0017640576134285806,0,0
40.071306430904244,0.0,0.0,0.0,-0.0017640568511251696,0,0
44.07843707399467,0.0,0.0,0.0,-0.0017640565444304764,0,0
48.0855677170851,0.0,0.0,0.0,-0.0017640565346321608,0,0
52.09269836017552,0.0,0.0,0.0,-0.0017640567054637616,0,0
56.099829003265945,0.0,0.0,0.0,-0.0017640569819084653,0,0
60.106959646356366,0.0,0.0,0.0,-0.0017640573173483675,0,0
64.11409028944679,0.0,0.0,0.0,-0.0017640576824485797,0,0
68.12122093253721,0.0,0.0,0.0,-0.001764058058780902,0,0
72.12835157562765,0.0,0.0,0.0,-0.0017640584358023285,0,0
76.13548221871807,0.0,0.0,0.0,-0.0017640588096569858,0,0
80.14261286180849,0.0,0.0,0.0,-0.0017640591829428342,0,0
84.14974350489892,0.0,0.0,0.0,-0.0017640595650629776,0,0
88.15687414798934,0.0,0.0,0.0,-0.0017640599731460428,0,0
92.16400479107976,0.0,0.0,0.0,-0.0017640604340332462,0,0
96.1711354341702,0.0,0.0,0.0,-0.0017640609883634976,0,0
100.17826607726062,0.0,0.0,0.0,-0.0017640617001563788,0,0
104.18539672035104,0.0,0.0,0.0,-0.0017640626769801445,0,0
108.19252736344146,0.0,0.0,0.0,-0.0017640641343283391,0,0
112.19965800653189,0.0,0.0,0.0,-0.0017640664849128869,0,0
116.20678864962231,0.0,0.0,0.0,-0.0017640706488953027,0,0
120.21391929271273,0.0,0.0,0.0,-0.001764078541715674,0,0
124.22104993580317,0.0,0.0,0.0,-0.0017640957335403557,0,0
128.22818057889359,0.0,0.0,0.0,-0.00176412476819469,0,0
132.235311221984,0.0,0.0,0.0,-0.0017641576471905075,0,0
136.24244186507443,0.0,0.0,0.0,-0.001764185290618701,0,0
140.24957250816485,0.0,0.0,0.0,-0.0017642016076512142,0,0
144.2567031512553,0.0,0.0,0.0,-0.001764207616121025,0,0
148.26383379434571,0.0,0.0,0.0,-0.0017642112472061459,0,0
152.27096443743613,0.0,0.0,0.0,-0.0017642151473019243,0,0
156.27809508052655,0.0,0.0,0.0,-0.0017642190169276544,0,0
160.28522572361697,0.0,0.0,0.0,-0.0017642229449161486,0,0
164.2923563667074,0.0,0.0,0.0,-0.0017642269032350682,0,0
168.29948700979784,0.0,0.0,0.0,-0.0017642308968158827,0,0
172.30661765288826,0.0,0.0,0.0,-0.001764234921000741,0,0
176.31374829597868,0.0,0.0,0.0,-0.0017642389736079473,0,0
180.3208789390691,0.0,0.0,0.0,-0.0017642430515131396,0,0
184.32800958215952,0.0,0.0,0.0,-0.0017642471516161986,0,0
188.33514022524994,0.0,0.0,0.0,-0.001764251270568689,0,0
192.3422708683404,0.0,0.0,0.0,-0.0017642554048523727,0,0
196.3494015114308,0.0,0.0,0.0,-0.0017642595507602894,0,0
200.35653215452123,0.0,0.0,0.0,-0.0017642637044063484,0,0
204.36366279761165,0.0,0.0,0.0,-0.0017642678617283871,0,0
208.37079344070207,0.0,0.0,0.0,-0.0017642720184944552,0,0
212.3779240837925,0.0,0.0,0.0,-0.0017642761703098293,0,0
216.3850547268829,0.0,0.0,0.0,-0.001764280312624854,0,0
220.39218536997336,0.0,0.0,0.0,-0.0017642844407461903,0,0
224.39931601306378,0.0,0.0,0.0,-0.0017642885498411743,0,0
228.4064466561542,0.0,0.0,0.0,-0.0017642926349730752,0,0
232.41357729924462,0.0,0.0,0.0,-0.0017642966910279597,0,0
236.42070794233504,0.0,0.0,0.0,-0.0017643007130562305,0,0
240.42783858542546,0.0,0.0,0.0,-0.0017643046950504319,0,0
244.4349692285159,0.0,0.0,0.0,-0.0017643086346391809,0,0
248.44209987160633,0.0,0.0,0.0,-0.0017643125154642452,0,0
252.44923051469675,0.0,0.0,0.0,-0.0017643163736467485,0,0
256.45636115778717,0.0,0.0,0.0,-0.0017643200478919196,0,0
260.4634918008776,0.0,0.0,0.0,-0.0017643243900837412,0,0
264.470622443968,0.0,0.0,0.0,-0.0017643362237229393,0,0
268.47775308705843,0.0,0.0,0.0,-0.0017643680404923433,0,0
272.48488373014885,0.0,0.0,0.0,-0.0017644390864538506,0,0
276.4920143732393,0.0,0.0,0.0,-0.0017645969651794516,0,0
280.4991450163297,0.0,0.0,0.0,-0.001764998023800456,0,0
284.50627565942017,0.0,0.0,0.0,-0.0017664231176412772,0,0
288.5134063025106,0.0,0.0,0.0,-0.0017799213872667701,0,0
292.520536945601,0.0,0.0,0.0,-0.0018187128101634193,0,0
296.52766758869143,0.0,0.0,0.0,-0.0017683623798881935,0,0
300.53479823178185,0.0,0.0,0.0,-0.0017656892658144726,0,0
304.54192887487227,0.0,0.0,0.0,-0.0017649819507813483,0,0
308.5490595179627,0.0,0.0,0.0,-0.0017646851252618842,0,0
312.5561901610531,0.0,0.0,0.0,-0.0017645265460581,0,0
316.56332080414353,0.0,0.0,0.0,-0.0017644273222210609,0,0
320.57045144723395,0.0,0.0,0.0,-0.0017643577464784115,0,0
324.57758209032437,0.0,0.0,0.0,-0.0017643047795367843,0,0
328.5847127334148,0.0,0.0,0.0,-0.0017642621589113493,0,0
332.5918433765052,0.0,0.0,0.0,-0.0017642267086759175,0,0
336.5989740195957,0.0,0.0,0.0,-0.0017641967429418738,0,0
340.6061046626861,0.0,0.0,0.0,-0.0017641713063498315,0,0
344.6132353057765,0.0,0.0,0.0,-0.0017641497965638904,0,0
348.62036594886695,0.0,0.0,0.0,-0.0017641317735137205,0,0
352.62749659195737,0.0,0.0,0.0,-0.0017641168611865073,0,0
356.6346272350478,0.0,0.0,0.0,-0.0017641046957604712,0,0
360.6417578781382,0.0,0.0,0.0,-0.0017640949050188278,0,0
364.6488885212286,0.0,0.0,0.0,-0.0017640871031563393,0,0
368.65601916431905,0.0,0.0,0.0,-0.0017640809198313473,0,0
372.66314980740947,0.0,0.0,0.0,-0.0017640759780087893,0,0
376.6702804504999,0.0,0.0,0.0,-0.0017640720362243122,0,0
380.6774110935903,0.0,0.0,0.0,-0.0017640686294415199,0,0
384.6845417366808,0.0,0.0,0.0,-0.0017640661702594508,0,0
388.6916723797712,0.0,0.0,0.0,-0.0017640627910904688,0,0
392.6988030228616,0.0,0.0,0.0,-0.0017640599266212653,0,0
396.70593366595205,0.0,0.0,0.0,-0.0017640586160922276,0,0
400.71306430904247,0.0,0.0,0.0,-0.0017640575081137814,0,0
404.7201949521329,0.0,0.0,0.0,-0.0017640568799676061,0,0
408.7273255952233,0.0,0.0,0.0,-0.0017640565823881051,0,0
412.7344562383137,0.0,0.0,0.0,-0.0017640565109449922,0,0
