z,u,v,Phi,kappa_n,newton_iters,flag
0.0,0.15820410552836822,0.010080767610045324,0.0,-0.001783152615827826,0,0
28.775680647741485,0.15811189305760623,1.6523388866272277,0.00010118383657786723,-0.0017831484469002716,20,0
57.55136129548297,0.18925662424272788,1.63486017084195,-0.00014497122378998029,-0.0017869304293590131,20,0
86.32704194322446,0.2264515640607618,1.5063999565038872,-2.883465683112263e-06,-0.0017916222313753803,20,0
115.10272259096594,0.3227124007233822,1.3359579378794442,-2.5283226397979135,-0.002397954239932986,20,1
143.87840323870742,0.01689474906962679,1.4042339399869141,-7.775091478627289,-0.002329642146932982,20,1
172.65408388644892,2.855854885286395,1.4503504318897962,-11.268853828762744,-0.002306419011978216,20,1
201.42976453419038,4.99512118066255,1.4873337436991008,-15.915343026054202,-0.002498287975069397,20,1
230.20544518193188,6.871293136514715,1.5111649560336924,-21.73110999738992,-0.0027204045576913784,20,1
258.9811258296734,6.426203432621971,1.5356726367107323,-32.491728209034676,-0.002534406282377255,20,1
287.75680647741484,5.950652713288055,1.5843599399147943,-45.67491816099361,-0.00246449485965519,20,1
316.5324871251563,6.676710742309384,1.5892700511786146,-59.14348828623767,-0.0025714385398393383,20,1
345.30816777289783,6.235473129783845,1.6172050172302361,-77.36435016823559,-0.0026325637814781076,20,1
374.0838484206393,6.021317049927012,1.659503073574406,-97.62983261788352,-0.0024782375406186873,20,1
402.85952906838077,6.92487489538118,1.664706301220355,-117.43258123598179,-0.0026353354958663544,20,1
431.6352097161223,6.576263000357543,1.682341796989578,-141.80238361666676,-0.002533246391901358,20,1
460.41089036386376,6.1858186820157,1.7058808622138053,-167.54578009832306,-0.0024974976296645267,20,1
489.1865710116052,5.782957038394238,1.7607492851758435,-194.07085506937975,-0.002441023006295055,20,1
517.9622516593467,6.5091815303089104,1.7742568128229053,-217.82280933581427,-0.0025994273318286016,20,1
546.7379323070882,8.327458442229267,1.7967134016960138,-238.40253317534263,-0.002792323115795253,20,1
575.5136129548297,10.244852866545505,1.826124822812135,-258.2631923980904,-0.002884053107620953,20,1
604.2892936025712,10.960447433919105,1.8330284055931292,-281.3894678315278,-0.002969969810509177,20,1
633.0649742503126,10.474528868976904,1.8601964432641946,-308.17645405833946,-0.003002391998074406,20,1
661.8406548980541,10.031414741002962,1.8769448780818043,-334.891339722417,-0.0028624767143025404,20,1
690.6163355457957,9.621994255442782,1.9176607453524432,-361.52298287252745,-0.003050652723779365,20,1
719.3920161935371,12.502299832569078,1.9465912091804682,-377.0360614719326,-0.0030933556287017134,20,1
748.1676968412786,13.437066673243802,1.97907549595599,-398.77995197266307,-0.003146519969402656,20,1
776.9433774890201,13.410701898757775,2.0081489482330137,-423.8551641282111,-0.003142322156545625,20,1
805.7190581367615,13.736447092466355,1.9957807607951374,-447.5835754749389,-0.003167583591333037,20,1
834.494738784503,13.493087064438646,2.0243581421404224,-473.4517016498845,-0.003149941777421309,20,1
863.2704194322446,12.970406012943519,2.061696736120739,-500.70250992991004,-0.0031361500038495607,20,1
892.046100079986,12.48724455570916,2.111917793300116,-528.2078598122537,-0.003076214356778871,20,1
920.8217807277275,13.22399844642497,2.0993999755043458,-551.068394861146,-0.003124541294910997,20,1
949.597461375469,12.992433673680882,2.1339040991300067,-577.4745037484955,-0.0031054367677922135,20,1
978.3731420232104,12.752373006281017,2.2031974966456906,-603.1481716129484,-0.0030963416378424037,20,1
1007.148822670952,12.024289763460962,2.249663693793714,-629.8404667419113,-0.0030326321818003772,20,1
1035.9245033186935,11.309806815291365,2.286823547862569,-655.6329015406435,-0.002963626846981389,20,1
1064.700183966435,10.902642383270432,2.3292030760952915,-680.2221507001199,-0.002926196671583499,20,1
1093.4758646141763,10.60427040782922,2.4432690578632243,-704.579917437591,-0.0029119619411368445,20,1
1122.251545261918,11.42872769845189,2.4911882638214187,-724.3492783425618,-0.0029913349797709606,20,1
1151.0272259096594,11.726235872840935,2.5814943391732186,-745.0559905645144,-0.002999418261778263,20,1
1179.8029065574008,12.109041032954561,2.5766501490770457,-764.1233362084283,-0.00303611316947858,20,1
1208.5785872051424,182.1921160929871,2.6955038476617155,-216.33666778943785,-0.008375892764302515,20,1
1237.3542678528838,182.73390903698234,2.7981274571946138,-234.05440268989503,-0.00835306362429173,20,1
1266.1299485006252,182.6109419435596,2.940041487042343,-253.81848545975583,-0.00829006052565504,20,1
1294.9056291483669,181.31194393145998,3.101261929241498,-277.8502353529712,-0.008455719434663141,20,1
1323.6813097961083,181.22418489867061,3.3185699496659753,-290.1927209507932,-0.008460360157018768,20,1
1352.4569904438497,181.02084779171562,3.5731844758412112,-297.4303026568467,-0.008471280856392465,20,1
1381.2326710915913,181.35257355313425,3.810401144528228,-294.5682869915106,-0.008453101021302634,20,1
1410.0083517393327,181.2508507206529,4.053936331412101,-287.8335487472232,-0.008459252281222466,20,1
1438.7840323870741,181.10444804766337,4.263769670057504,-276.12285087648115,-0.00846479190736044,20,1
1467.5597130348158,180.76066831272215,4.443811599272743,-261.8329628817414,-0.00848945374070984,20,1
1496.3353936825572,180.8443532091382,4.556368522710075,-242.2848435695008,-0.00848471122930371,20,1
1525.1110743302986,180.7920436584562,4.686953380543562,-221.77731885185815,-0.008487730665818939,20,1
1553.8867549780402,180.84677037335985,4.7667683998646275,-199.4833414056077,-0.008465396303135614,20,1
1582.6624356257817,181.31830348364886,4.848256875812182,-174.12801013992612,-0.008455451434988125,20,1
1611.438116273523,181.35505170815054,4.895794848959174,-151.15105873287717,-0.008452800122901049,20,1
1640.2137969212647,181.29330760852744,4.960402301794286,-128.97835610089956,-0.008456976851077594,20,1
1668.989477569006,181.3343992896938,5.009053309901414,-106.8985397667156,-0.008454395100423161,20,1
1697.7651582167475,181.36871585658713,5.0465849418107105,-85.98852676476795,-0.00843440113510245,20,1
1726.5408388644892,180.9908666288773,5.085483444315861,-68.8186692008851,-0.008475712974445111,20,1
1755.3165195122306,180.9387756650039,5.127529184757842,-51.755657862914745,-0.008477312492871916,20,1
1784.092200159972,180.82053378910132,5.163358913424351,-37.17637074861881,-0.008485892069753117,20,1
1812.8678808077136,180.76972298985945,5.203871755870554,-24.55572596590497,-0.008488663223352027,20,1
1841.643561455455,180.82846061536873,5.2324158496852435,-13.758985046253912,-0.008483880934199328,20,1
1870.4192421031964,180.72782595506044,5.263540518469524,-5.8554171256007095,-0.008464519724960878,20,1
1899.194922750938,181.07281335216408,5.1769929445883625,-0.00598695670184668,-0.008471051002862018,20,1
1927.9706033986795,181.0715027863845,5.100221294141652,4.642558820933118e-06,-0.008471131954738505,20,0
1956.746284046421,181.07064006877607,5.058282995538977,6.12600976523936e-06,-0.008471185165306264,20,0
1985.5219646941625,181.06990043787494,5.029123105053411,5.614341745285856e-06,-0.008471230768014672,20,0
2014.297645341904,181.0692278888101,5.006814796158928,5.143610636082485e-06,-0.008471272226370122,20,0
2043.0733259896454,181.06860085955233,4.988547240417564,4.829117614235656e-06,-0.008471310872876303,20,0
2071.849006637387,181.06800729503965,4.973116496614227,4.468160916815123e-06,-0.008471347452124285,20,0
2100.6246872851284,181.06743747112367,4.960361186576661,3.905212601296171e-06,-0.008471382564280356,20,0
2129.40036793287,181.06688498059015,4.95007528051982,3.3232289737838983e-06,-0.008471416604717922,20,0
2158.176048580611,181.0663468274545,4.941794048989613,2.825948421047997e-06,-0.008471449758422647,20,0
2186.9517292283526,181.0658210819219,4.935179163549407,2.3522019105826075e-06,-0.008471482144582774,20,0
2215.7274098760945,181.06530611933832,4.93000381213587,1.8956130318770192e-06,-0.008471513863518727,20,0
2244.503090523836,181.06480063644085,4.926371548951853,1.232115899085784e-06,-0.008471544995702499,20,0
2273.2787711715773,181.06430355895435,4.927836487754366,-1.9783835547571016e-06,-0.008471575607459376,20,0
2302.0544518193187,181.06381412170506,4.938505142843542,-6.812923157184514e-06,-0.008471605746059336,20,0
2330.83013246706,181.06333323887966,4.960747592530359,-1.2430218353287614e-05,-0.008471635355351574,20,0
2359.6058131148015,181.0628637169933,4.9963560010108035,-1.8433220415836615e-05,-0.008471664262696424,20,0
2388.3814937625434,181.06240956050345,5.047103742572438,-2.4474764201365407e-05,-0.00847169222175442,20,0
2417.157174410285,181.0619750931331,5.115015339765897,-3.0215807113265214e-05,-0.008471718966599729,20,0
2445.9328550580262,181.061564230217,5.202722616868223,-3.536786503843814e-05,-0.00847174425650355,20,0
2474.7085357057676,181.06118021905425,5.314091533321391,-3.9619865932039033e-05,-0.008471767891880099,20,0
2503.484216353509,181.06081957142231,5.454523412183221,-4.1543583261471895e-05,-0.008471790087591078,20,0
2532.2598970012505,181.06045406952651,5.657294889049016,-4.683433671459625e-05,-0.00847181257918457,20,0
2561.0355776489923,181.06011281038676,5.99913336686411,-7.691310452612953,-0.008469737658840328,20,1
2589.8112582967337,181.14070517610432,6.0475981412775335,-27.082472819690125,-0.008466782595084626,20,1
2618.586938944475,181.12482424599958,6.09807916214218,-46.945590273366946,-0.008467579500732885,20,1
2647.3626195922166,181.16005565330923,6.169013895754073,-67.15965195151111,-0.008465515131997543,20,1
2676.138300239958,181.18729086066173,6.270292348883652,-87.3519861037605,-0.008435836701302551,20,1
2704.9139808876994,181.65408972310266,0.11949714206710245,-107.75010005420538,-0.008433268944587157,20,1
2733.6896615354412,181.69434403519992,0.34373570785455754,-125.7624687727915,-0.008430537534051973,20,1
2762.4653421831827,181.64492371602287,0.6483016211040306,-142.46077674644644,-0.008433648132065284,20,1
2791.241022830924,181.74844589704438,1.1095467600458366,-150.5556826322982,-0.008426878901652146,20,1
2820.0167034786655,181.79826034546522,1.6326007590465255,-144.87588223145036,-0.008423422391343102,20,1
2848.792384126407,181.7497859602622,1.9610573222534913,-128.3024585030987,0.0,20,1
