X,Y,Z
-29.398314515856388,72.0954228857498,0.0118611482992586
31.25857730241948,46.555878999398416,3.48471251854221e-10
35.94466584515918,44.57288793372737,7.687835212877303e-08
40.44329222921286,42.65419257184091,1.7568640497955815e-07
44.8469407976942,40.758048892662615,1.511055183200938e-07
49.27449687812917,38.83308683003112,9.389204613796664e-08
53.83244570378133,36.83396981376438,1.202622144091947e-07
58.58990035279079,34.73195074783256,1.299380443242626e-07
63.56732646557993,32.519961487036966,1.254005681516901e-07
68.73682004012332,30.21247791808089,5.244960732397885e-08
75.41396485951518,26.886109486834897,0.878170289554852
84.80136242391904,21.539953032433807,3.847825113008554
93.40866744225453,16.518610201151965,6.868260971515824
101.19138540811832,11.885105008933373,9.826449581277792
108.20202601365682,7.636459091179301,12.666518114807182
114.53545678331533,3.735970284675787,15.370588936155473
120.30067473993664,0.1317056679206558,17.944235293044066
125.61263784332488,-3.23709942562958,20.409515132540285
130.59603296144525,-6.4416599883708585,22.80431035510576
135.3949827903973,-9.569707987300092,25.18598774379269
140.18395814281374,-12.73307363845506,27.637345476582155
145.17540154997295,-16.07374806269815,30.272727266535355
150.61911654151456,-19.764776106001317,33.241867256599946
156.78762270611003,-24.001407579006028,36.72823606132821
163.94089315169788,-28.977173456778218,40.93706186952112
172.26514129245294,-34.839740306245666,46.06611565530311
181.78255055175944,-41.634461647947326,52.25025199416737
192.25215681078728,-49.24555584251077,59.47941279097169
203.12726465673063,-57.32996602764998,67.51432271225801
213.61341631346255,-65.32802088873959,75.84173496321414
222.8556977720435,-72.58261798900956,83.73417317702852
230.18515932324087,-78.52273364037367,90.43180060639204
235.28970182990568,-82.80716982629241,95.3716271185329
238.25787846492096,-85.39018878678058,98.36976700569056
239.55996803012644,-86.56189778800811,99.72131259405768
240.02399599556887,-86.9919721015523,100.21050092530328
240.4447137910001,-87.39227154958972,100.65888259944936
240.88922367585275,-87.82586214986185,101.13769583093072
241.3566569859447,-88.29332028820872,101.64682805056108
241.84613346745195,-88.79520844126563,102.18618085531352
242.3567613424118,-89.33207495590759,102.75567033557968
242.88763735276413,-89.90445383619064,103.35522734672082
243.4378467795216,-90.51286456580196,103.9847979061588
244.006463468076,-91.15781190789986,104.64434354909064
244.59254984176715,-91.83978571501008,105.33384175780633
245.19515690516772,-92.55926074600777,106.0532864510044
245.81332425246055,-93.3166964640588,106.8026884405119
246.4460800532142,-94.112536850312,107.5820760073638
247.09244104523816,-94.94721019788224,108.39149543847724
247.7514125077672,-95.82112891990384,109.2310116647826
248.4219882267771,-96.73468934773548,110.10070893048317
249.1031504589736,-97.68827151587804,111.0006914651578
249.7938698769724,-98.6822389554064,111.9310842462932
250.49310551023612,-99.71693847375946,112.89203377483057
251.199804629605,-100.79269997346536,113.88370911537264
251.91290274792917,-101.90983612796444,114.90630237107308
252.6313234195117,-103.06864225501764,115.96003011677028
253.3539781693521,-104.26939602217811,117.04513419642336
254.0797663542555,-105.51235720164831,118.16188283992892
254.80757499254807,-106.79776743120335,119.3105719099346
255.5362786008473,-108.12584993947527,120.49152610375666
256.2647389887793,-109.49680927837365,121.70510032309552
256.9918050881845,-110.91083099497638,122.9516811744603
257.71630995015994,-112.36808369519451,124.23168683696144
259.12181560838246,-115.31579943940623,126.82190317342594
262.98375099848494,-123.94392863144893,134.6246205971044
269.771276302259,-141.05544833830925,151.55943009517387
277.47190223224607,-166.3014049042593,181.6481953907736
281.12223208808285,-195.1506102536628,228.7734620699661
274.66387424683,-219.9262144790058,293.8924938430454
261.9302013734848,-235.73113366332504,357.7257103905794
252.6314048022437,-245.67045218617807,401.2140576995288
246.06016072356664,-252.25184850432768,431.11273403864834
241.2781017397361,-256.8296622081222,452.5293564904599
