z,r,dr_dz,d2r_dz2,curvature
44.762139,142.444291,1.965356,-0.036566,0.003410
45.142114,142.951050,1.957596,-0.036214,0.003409
45.522090,143.455624,1.949894,-0.035817,0.003404
45.902065,143.958135,1.942251,-0.035421,0.003398
46.282040,144.458564,1.934666,-0.035164,0.003404
46.662015,144.956719,1.927082,-0.035322,0.003451
47.041991,145.452442,1.919376,-0.035926,0.003544
47.421966,145.945812,1.911477,-0.036687,0.003654
47.801941,146.436990,1.903385,-0.037338,0.003756
48.181916,146.926104,1.895143,-0.037427,0.003804
48.561891,147.413236,1.886952,-0.036630,0.003761
48.941867,147.898451,1.879003,-0.035336,0.003664
49.321842,148.381714,1.871326,-0.034006,0.003560
49.701817,148.862951,1.863913,-0.032862,0.003472
50.081792,149.342112,1.856696,-0.032088,0.003421
50.461768,149.819178,1.849580,-0.031612,0.003401
50.841743,150.294149,1.842531,-0.031227,0.003389
51.221718,150.767125,1.835543,-0.031024,0.003397
51.601693,151.238251,1.828541,-0.031346,0.003463
51.981668,151.707630,1.821364,-0.032216,0.003591
52.361644,152.175298,1.813921,-0.033272,0.003744
52.741619,152.641268,1.806213,-0.034132,0.003879
53.121594,153.105433,1.798325,-0.034273,0.003934
53.501569,153.567630,1.790498,-0.033496,0.003883
53.881545,154.027812,1.782913,-0.032304,0.003782
54.261520,154.486135,1.775583,-0.031113,0.003677
54.641495,154.942762,1.768500,-0.030016,0.003579
55.021470,155.397747,1.761634,-0.029044,0.003494
55.401445,155.851090,1.754961,-0.028149,0.003416
55.781421,156.302808,1.748473,-0.027402,0.003353
56.161396,156.752956,1.742111,-0.027403,0.003381
56.541371,157.201577,1.735584,-0.028634,0.003563
56.921346,157.648598,1.728602,-0.030576,0.003839
57.301322,158.093881,1.721113,-0.032408,0.004109
57.681297,158.537370,1.713212,-0.033001,0.004228
58.061272,158.979182,1.705387,-0.031506,0.004078
58.441247,159.419449,1.698146,-0.028745,0.003756
58.821222,159.858230,1.691596,-0.025993,0.003425
59.201198,160.295539,1.685638,-0.024454,0.003248
59.581173,160.731391,1.679795,-0.024940,0.003338
59.961148,161.165800,1.673570,-0.026655,0.003597
60.341123,161.598784,1.666859,-0.028398,0.003867
60.721099,162.030347,1.659745,-0.029230,0.004018
61.101074,162.460492,1.652584,-0.028628,0.003972
61.481049,162.889203,1.645720,-0.027209,0.003810
61.861024,163.316419,1.639212,-0.025801,0.003644
62.240999,163.742083,1.633000,-0.024947,0.003553
62.620975,164.166245,1.626878,-0.024877,0.003572
63.000950,164.589033,1.620666,-0.025212,0.003651
63.380925,165.010541,1.614340,-0.025531,0.003728
63.760900,165.430769,1.607933,-0.025623,0.003774
64.140876,165.849699,1.601524,-0.025438,0.003779
64.520851,166.267331,1.595171,-0.025131,0.003766
64.900826,166.683681,1.588879,-0.024815,0.003750
65.280801,167.098765,1.582648,-0.024494,0.003733
65.660776,167.512606,1.576482,-0.024169,0.003715
66.040752,167.925226,1.570381,-0.023849,0.003696
66.420727,168.336585,1.564342,-0.023563,0.003682
