z,u,v,Phi,kappa_n,iters,flag,pred_type
0.0,1.7825330012531587e-06,0.19817023861299654,0.0,-0.0017640583925381038,0,0,OPT
2.6534320688564508,0.0014267825440761662,0.1983674162472091,9.37925948463203e-07,-0.0017642307297861602,20,0,DAE
5.3068641377129016,2.7051875076412663e-06,0.2617533467266294,0.0008876777869133434,-0.0017640599600371807,20,0,OPT_GLOBAL_BISECT
7.960296206569352,6.862857387955602e-06,0.38545916980642353,0.0003789392720454643,-0.0017640651942372413,18,1,OPT_GLOBAL_BISECT
10.613728275425803,1.1650052991480707e-05,0.508292525247496,0.0003978107890496574,-0.0017640741031599828,15,1,OPT_GLOBAL_BISECT
13.267160344282253,1.6391007467290284e-05,0.6316395571660918,0.0006180614657047556,-0.0017640891716690702,12,1,OPT_GLOBAL_BISECT
15.920592413138705,1.882385417491123e-05,0.7578866561586473,-0.0003470171706752012,-0.0017641163848937358,11,1,OPT_GLOBAL_BISECT
18.574024481995156,1.4056887857770332e-05,0.896680687680592,8.52909054849249e-05,-0.0017641789110909598,9,1,OPT_BISECT
21.227456550851606,1.6828526014147924e-06,1.472519939712704,3.01189894713616e-06,-0.0017644813645194901,9,1,OPT_BISECT
23.880888619708056,0.06675078531508324,1.3093997628517529,-0.8825115821314924,-0.003549192960186377,7,1,OPT_GLOBAL
26.534320688564506,8.807741298428162,1.0424981570708827,0.0002359532665323627,-0.0027273844683719903,20,0,OPT_GLOBAL_BISECT
29.18775275742096,8.800690959471968,1.2141554966770962,0.0005167815925943842,-0.0027267246682581864,18,1,OPT_GLOBAL_BISECT
31.84118482627741,8.785389519912911,1.4124471071536255,-1.6348527225750544,-0.003724057688929795,14,1,OPT_GLOBAL
34.49461689513386,18.071846192697162,1.1288154337662402,-2.9109744303923435e-07,-0.0034645582978163015,13,0,DAE
37.14804896399031,18.070174736028232,1.282935963624995,-7.248657638569966e-07,-0.0034644613329589346,9,0,DAE_BISECT
39.80148103284676,18.06591199932244,1.495687384566906,-1.9184368839882922,-0.0038825355374140003,20,1,OPT_GLOBAL
42.45491310170321,27.472003828733676,1.2148645276202952,3.5019805011415883e-07,-0.003802416200584367,8,0,DAE
45.108345170559666,27.47137576103638,1.3703752808274474,1.927868140683131e-07,-0.0038024083570321492,7,0,DAE_BISECT
47.76177723941611,27.46919290505307,1.5591125761782543,-2.867680471258822,-0.0038118364747182867,20,1,OPT_GLOBAL_BISECT
50.415209308272566,27.923011791850776,1.57472688739165,-7.611835776822787,-0.0038425461650835307,9,1,OPT_GLOBAL_BISECT
53.06864137712901,28.844687986435936,1.5870075765013938,-11.939847842994013,-0.003823390346298944,11,1,OPT_GLOBAL_BISECT
55.722073445985465,28.60991269978938,1.5970488988271478,-18.452268728887447,-0.0038154629313892903,14,1,OPT_GLOBAL_BISECT
58.37550551484192,28.513644357942496,1.6160198264763002,-24.895366521758774,-0.0038176001613100968,18,1,OPT_GLOBAL_BISECT
61.028937583698365,28.729093277245504,1.6184605845615585,-30.7718020783704,-0.0038161123449044774,20,1,OPT_GLOBAL_BISECT
63.68236965255482,28.665181861608605,1.639565338253398,-37.09611554291273,-0.0038157978753115985,20,1,DAE_BISECT
66.33580172141127,28.744048268220933,1.64985053243885,-42.985628717814905,-0.0038161267387732817,20,1,DAE_BISECT
68.98923379026772,28.802264957605775,1.6480102642941061,-48.71297553908923,-0.0038183292366993347,20,1,DAE_BISECT
71.64266585912416,28.71265019336751,1.659762372878397,-54.544280056604066,-0.003838847176639789,20,1,DAE_BISECT
74.29609792798063,29.149157318325443,1.6668709696568595,-59.01827578947649,-0.0038346121540616105,20,1,DAE_BISECT
76.94952999683707,29.479390155624433,1.677485768938928,-63.520577510631526,-0.003820831662478722,20,1,DAE_BISECT
79.60296206569352,29.536671848119507,1.6715333194153803,-68.47910941796131,-0.003820794580196215,20,1,DAE_BISECT
82.25639413454998,29.499440635907195,1.6847090846355506,-73.57414226153608,-0.003869287567595915,20,1,DAE_BISECT
84.90982620340642,30.091232043655133,1.6953181233207992,-77.24059914531382,-0.0038226775437171234,20,1,DAE_BISECT
87.56325827226287,30.14210969679652,1.6938748293922912,-82.24970204522593,-0.003831588991757501,20,1,DAE_BISECT
90.21669034111933,30.027894264678505,1.7017381038588482,-87.89502143988024,-0.003923656459257976,20,1,DAE_BISECT
92.87012240997578,31.045807894315697,1.7145408929049148,-91.2634707787442,-0.0038223097218725187,20,1,DAE_BISECT
95.52355447883222,31.09043210482574,1.7067308571511544,-97.4865177777694,-0.003822180461054919,20,1,DAE_BISECT
98.17698654768868,31.050170670185786,1.719600339319314,-104.71507074256932,-0.003827505760690894,20,1,DAE_BISECT
100.83041861654513,30.913238796729146,1.741502434219059,-113.28455992155808,-0.003822277138775731,20,1,DAE_BISECT
103.48385068540158,30.954307967645946,1.7274645778756397,-122.84829168894893,-0.0038221823149514047,20,1,DAE_BISECT
106.13728275425802,30.91478089336736,1.7453580802800435,-134.59855816984256,-0.0038226658186283993,20,1,DAE_BISECT
108.79071482311448,30.824883622295346,1.7529168826699002,-149.22503719451083,-0.0038223398728731077,20,1,DAE_BISECT
111.44414689197093,30.767774790149943,1.776776493688408,-167.41295014147744,-0.0038226284363219007,20,1,DAE_BISECT
114.09757896082738,30.651205546612292,1.8209506325422298,-191.05527889504657,-0.003822609108670549,20,1,DAE_BISECT
116.75101102968384,30.80098444192592,1.858414035777809,-220.80135714504172,-0.00382235081163942,20,1,DAE_BISECT
119.40444309854028,30.930774820736975,1.8944805739095434,-259.1576591724231,-0.0038223467680529033,20,1,DAE_BISECT
122.05787516739673,31.19000628357825,1.9444421392947717,-311.22128368465,-0.0038232307436850427,20,1,DAE_BISECT
124.71130723625319,32.10070017267095,2.0116986844042097,-373.6499686149267,-0.003898986799799808,20,1,DAE_BISECT
127.36473930510964,41.36016831736613,2.0628076248326064,-403.18151935383605,-0.0036307300300965537,20,1,DAE_BISECT
130.01817137396608,41.18571361893703,2.165885377171878,-450.98533550735124,-0.003636328908986029,20,1,DAE_BISECT
132.67160344282254,41.45113197158316,2.189295796275279,-479.41498167876307,-0.0036280317834456875,20,1,DAE_BISECT
135.32503551167898,41.2661747713668,2.22927492168746,-498.87459653074575,-0.0036339673144565677,20,1,DAE_BISECT
137.97846758053544,41.10388389431302,2.281605759672404,-511.26346228132957,-0.0036388416801344022,20,1,DAE_BISECT
140.6318996493919,41.17832280690166,2.2967304266406092,-517.073344127676,-0.0036365090458924153,20,1,DAE_BISECT
143.28533171824833,41.211972003953846,2.31389539303541,-519.762709380679,-0.0036353595003289964,20,1,DAE_BISECT
145.9387637871048,41.221564183790846,2.2967917883512956,-521.2148188934565,-0.003635949734812021,20,1,DAE_BISECT
148.59219585596125,41.25155270816104,2.3147535090590474,-522.7573757987088,-0.0036341720879823495,20,1,DAE_BISECT
151.24562792481768,41.26263336928658,2.322839709033917,-524.3600493926124,-0.0036337931524618415,20,1,DAE_BISECT
153.89905999367414,41.27145180438434,2.3036068152065816,-525.8359040123571,-0.0036390442500822055,20,1,DAE_BISECT
156.5524920625306,41.347386712795405,2.3098450300787245,-527.1222730055623,-0.0036326680527267517,20,1,DAE_BISECT
159.20592413138704,41.38683864694671,2.2829850831423397,-528.5738383121059,-0.0036299121010882197,20,1,DAE_BISECT
161.8593562002435,41.37855366315791,2.3347054395068674,-530.1201660083996,-0.003630182090907363,20,1,DAE_BISECT
