z,u,v,Phi,kappa_n,iters,flag,pred_type
0.0,1.791161156937141e-06,0.19837222550136419,0.0,-0.0017640583975331457,0,0,
2.6399108093981445,0.0,0.0,0.0,-0.0017640582935108179,0,0,
5.279821618796289,0.0,0.0,0.0,-0.0017640582153391922,0,0,
7.9197324281944335,0.0,0.0,0.0,-0.00176405815407099,0,0,
10.559643237592578,0.0,0.0,0.0,-0.0017640581060178284,0,0,
13.199554046990723,0.0,0.0,0.0,-0.0017640580675547066,0,0,
15.839464856388867,0.0,0.0,0.0,-0.0017640580359925611,0,0,
18.47937566578701,0.0,0.0,0.0,-0.0017640580094839403,0,0,
21.119286475185156,0.0,0.0,0.0,-0.001764057986705984,0,0,
23.7591972845833,0.0,0.0,0.0,-0.0017640579667637431,0,0,
26.399108093981447,0.0,0.0,0.0,-0.00176405794907733,0,0,
29.03901890337959,0.0,0.0,0.0,-0.0017640579333113645,0,0,
31.678929712777734,0.0,0.0,0.0,-0.001764057919270735,0,0,
34.318840522175876,0.0,0.0,0.0,-0.0017640579068514226,0,0,
36.95875133157402,0.0,0.0,0.0,-0.001764057895974769,0,0,
39.598662140972166,0.0,0.0,0.0,-0.001764057886543886,0,0,
42.23857295037031,0.0,0.0,0.0,-0.0017640578784493014,0,0,
44.87848375976846,0.0,0.0,0.0,-0.0017640578715755577,0,0,
47.5183945691666,0.0,0.0,0.0,-0.0017640578658265444,0,0,
50.15830537856475,0.0,0.0,0.0,-0.0017640578611275556,0,0,
52.79821618796289,0.0,0.0,0.0,-0.0017640578574236968,0,0,
55.43812699736103,0.0,0.0,0.0,-0.0017640578546740508,0,0,
58.07803780675918,0.0,0.0,0.0,-0.001764057852838946,0,0,
60.71794861615732,0.0,0.0,0.0,-0.0017640578518768085,0,0,
63.35785942555547,0.0,0.0,0.0,-0.0017640578517410935,0,0,
65.9977702349536,0.0,0.0,0.0,-0.0017640578523774552,0,0,
68.63768104435175,0.0,0.0,0.0,-0.001764057853731901,0,0,
71.2775918537499,0.0,0.0,0.0,-0.001764057855753807,0,0,
73.91750266314804,0.0,0.0,0.0,-0.0017640578584043388,0,0,
76.55741347254619,0.0,0.0,0.0,-0.0017640578616642405,0,0,
79.19732428194433,0.0,0.0,0.0,-0.0017640578655401123,0,0,
81.83723509134248,0.0,0.0,0.0,-0.0017640578700772005,0,0,
84.47714590074062,0.0,0.0,0.0,-0.0017640578753613505,0,0,
87.11705671013877,0.0,0.0,0.0,-0.001764057881525189,0,0,
89.75696751953691,0.0,0.0,0.0,-0.001764057888750043,0,0,
92.39687832893506,0.0,0.0,0.0,-0.00176405789726416,0,0,
95.0367891383332,0.0,0.0,0.0,-0.001764057907344063,0,0,
97.67669994773135,0.0,0.0,0.0,-0.0017640579192734905,0,0,
100.3166107571295,0.0,0.0,0.0,-0.0017640579333988275,0,0,
102.95652156652764,0.0,0.0,0.0,-0.0017640579502343383,0,0,
105.59643237592579,0.0,0.0,0.0,-0.0017640579708740022,0,0,
108.23634318532392,0.0,0.0,0.0,-0.0017640579971425765,0,0,
110.87625399472206,0.0,0.0,0.0,-0.001764058031833145,0,0,
113.51616480412021,0.0,0.0,0.0,-0.0017640580780614434,0,0,
116.15607561351835,0.0,0.0,0.0,-0.001764058141509551,0,0,
118.7959864229165,0.0,0.0,0.0,-0.0017640582338312961,0,0,
121.43589723231464,0.0,0.0,0.0,-0.0017640583571256834,0,0,
