z,u,v,X,Y,Z,Phi,kappa_n,newton_iters,optical_flag
0.0,1.0471975511965976,0.5235987755982988,1.0392304845413267,1.5,0.7999999999999999,0.0,0.0,0,False
0.0012442114692948693,1.047590509021794,0.5238465591457946,1.038374479429205,1.5001255140683842,0.8003433143926459,0.0,0.0,0,False
0.0024884229385897386,1.0479835886443625,0.5240942533886671,1.0375182870160315,1.5002507897943107,0.8006864559381661,0.0,0.0,0,False
0.003732634407884608,1.0483767974183542,0.5243418659015914,1.0366618897418007,1.5003758268471408,0.8010294351599024,0.0,0.0,0,False
0.004976845877179477,1.0487701305066086,0.524589390945895,1.0358052999781266,1.5005006258949503,0.8013722441382614,0.0,0.0,0,False
0.006221057346474346,1.0491635901587633,0.5248368310416617,1.0349485123854925,1.5006251865690503,0.8017148863937117,0.0,0.0,0,False
0.007465268815769216,1.0495571757209177,0.5250841852498694,1.0340915289258528,1.500749508994034,0.8020573606557886,0.0,0.0,0,False
0.008709480285064086,1.0499508874806556,0.5253314537631852,1.0332343491875096,1.5008735931246424,0.8023996672213457,0.0,0.0,0,False
0.009953691754358954,1.0503447254837417,0.5255786364830692,1.0323769733686396,1.5009974389599072,0.802741805984066,0.0,0.0,0,False
0.011197903223653823,1.050738689828624,0.5258257333743263,1.0315194015345066,1.5011210464891298,0.8030837769253995,0.0,0.0,0,False
0.012442114692948692,1.0511327806043758,0.5260727443904347,1.0306616337739556,1.5012444157033062,0.803425580011181,0.0,0.0,0,False
0.013686326162243563,1.0515269979008965,0.5263196694858158,1.0298036701736932,1.5013675465932423,0.8037672152086153,0.0,0.0,0,False
0.014930537631538432,1.0519213418084121,0.5265665086152307,1.028945510819548,1.5014904391496473,0.8041086824854426,0.0,0.0,0,False
0.016174749100833302,1.0523158124168734,0.5268132617330596,1.0280871557979847,1.5016130933632437,0.8044499818089408,0.0,0.0,0,False
0.01741896057012817,1.0527104098163511,0.5270599287937755,1.0272286051951107,1.5017355092246967,0.8047911131465801,0.0,0.0,0,False
0.01866317203942304,1.0531051340968567,0.5273065097517288,1.0263698590971255,1.5018576867246447,0.805132076465727,0.0,0.0,0,False
0.01990738350871791,1.053499985348413,0.5275530045612324,1.0255109175901438,1.5019796258536884,0.8054728717337603,0.0,0.0,0,False
0.021151594978012778,1.0538949636610289,0.5277994131765312,1.0246517807602598,1.5021013266023937,0.8058134989180297,0.0,0.0,0,False
0.022395806447307647,1.054290069075716,0.5280457354910059,1.0237924488181505,1.5022227889727748,0.8061539579018309,0.0,0.0,0,False
0.023640017916602515,1.0546853017804305,0.5282919715803899,1.0229329216006164,1.5023440129324173,0.8064942488205612,0.0,0.0,0,False
0.024884229385897384,1.0550806618161879,0.5285381213379468,1.0220731993182262,1.502464998483208,0.8068343715574721,0.0,0.0,0,False
0.026128440855192257,1.0554761492729663,0.5287841847176816,1.021213282056921,1.5025857456155718,0.8071743260798409,0.0,0.0,0,False
0.027372652324487125,1.055871764240736,0.5290301616735382,1.0203531699026054,1.5027062543199001,0.8075141123549255,0.0,0.0,0,False
0.028616863793781994,1.056267506809459,0.5292760521593994,1.0194928629411475,1.5028265245865478,0.8078537303499641,0.0,0.0,0,False
0.029861075263076863,1.0566633770690885,0.5295218561290878,1.0186323612583779,1.5029465564058353,0.8081931800321766,0.0,0.0,0,False
0.031105286732371732,1.0570593751095698,0.5297675735363648,1.01777166494009,1.503066349768047,0.8085324613687631,0.0,0.0,0,False
0.032349498201666604,1.0574555010208397,0.5300132043349309,1.0169107740720411,1.5031859046634342,0.8088715743269049,0.0,0.0,0,False
0.03359370967096147,1.057851754892826,0.5302587484784252,1.0160496887399517,1.5033052210822115,0.8092105188737627,0.0,0.0,0,False
0.03483792114025634,1.0582481368154477,0.5305042059204261,1.015188409029505,1.50342429901456,0.8095492949764789,0.0,0.0,0,False
0.03608213260955121,1.0586446468291029,0.5307495765534505,1.014326935151997,1.5035431384626037,0.8098879025180026,0.0,0.0,0,False
0.03732634407884608,1.059041285122698,0.5309948604529494,1.0134652669417767,1.5036617393925524,0.810226341633788,0.0,0.0,0,False
0.03857055554814095,1.0594380517366335,0.5312400575113222,1.01260340461003,1.5037801018064039,0.8105646122067398,0.0,0.0,0,False
0.03981476701743582,1.0598349467607928,0.5314851676819022,1.011741348242294,1.5038982256941988,0.8109027142039218,0.0,0.0,0,False
0.041058978486730686,1.060231970285051,0.5317301909179613,1.0108790979240683,1.5040161110459433,0.811240647592377,0.0,0.0,0,False
0.042303189956025555,1.060629122399273,0.5319751271727099,1.0100166537408164,1.5041337578516083,0.8115784123391299,0.0,0.0,0,False
0.043547401425320424,1.061026403193315,0.5322199763992969,1.0091540157779664,1.5042511661011302,0.8119160084111838,0.0,0.0,0,False
0.04479161289461529,1.061423812757024,0.5324647385508099,1.0082911841209072,1.50436833578441,0.8122534357755238,0.0,0.0,0,False
0.04603582436391016,1.061821351180237,0.5327094135802745,1.0074281588549936,1.504485266891315,0.8125906943991128,0.0,0.0,0,False
0.04728003583320503,1.0622190185527822,0.5329540014406545,1.0065649400655428,1.5046019594116775,0.8129277842488949,0.0,0.0,0,False
0.0485242473024999,1.0626168149644777,0.5331985020848524,1.0057015278378352,1.5047184133352942,0.8132647052917937,0.0,0.0,0,False
0.04976845877179477,1.0630147404549912,0.5334429154043943,1.0048379223840447,1.504834628664431,0.8136014574102403,0.0,0.0,0,False
0.051012670241089644,1.0634127952143821,0.5336872414746823,1.0039741235355581,1.5049506053638675,0.8139380407400681,0.0,0.0,0,False
0.05225688171038451,1.0638109792823187,0.5339314801871231,1.0031101315044404,1.505066343435742,0.8142744551636611,0.0,0.0,0,False
0.05350109317967938,1.06420929274858,0.5341756314943711,1.0022459463758275,1.5051818428697141,0.8146107006478612,0.0,0.0,0,False
0.05474530464897425,1.0646077357029344,0.5344196953490189,1.001381568234819,1.505297103655407,0.8149467771594907,0.0,0.0,0,False
0.05598951611826912,1.0650063082351404,0.5346636717035966,1.0005169971664778,1.50541212578241,0.81528268466535,0.0,0.0,0,False
0.05723372758756399,1.0654050104349462,0.5349075605105725,0.9996522332558313,1.5055269092402777,0.8156184231322201,0.0,0.0,0,False
0.05847793905685886,1.06580384239209,0.5351513617223521,0.9987872765878696,1.5056414540185308,0.8159539925268599,0.0,0.0,0,False
0.059722150526153726,1.066202804196299,0.5353950752912787,0.9979221272475476,1.5057557601066547,0.8162893928160084,0.0,0.0,0,False
0.060966361995448595,1.0666018959372905,0.5356387011696335,0.9970567853197839,1.505869827494101,0.816624623966384,0.0,0.0,0,False
0.062210573464743464,1.067001117704771,0.5358822393096357,0.99619125088946,1.5059836561702855,0.8169596859446844,0.0,0.0,0,False
0.06345478493403833,1.0674004695376569,0.5361256896018122,0.9953255241696431,1.5060972461376236,0.8172945786328137,0.0,0.0,0,False
0.06469899640333321,1.0677999516271703,0.5363690521215096,0.9944596049887382,1.5062105973594555,0.817629302166976,0.0,0.0,0,False
0.06594320787262807,1.0681995640122273,0.5366123267591348,0.9935934935597039,1.5063237098380688,0.8179638564290281,0.0,0.0,0,False
0.06718741934192295,1.0685993067824906,0.5368555134666558,0.9927271899672789,1.506436583562743,0.8182982413855827,0.0,0.0,0,False
0.06843163081121781,1.068999180027612,0.5370986121959777,0.9918606942961662,1.5065492185227212,0.8186324570032307,0.0,0.0,0,False
0.06967584228051268,1.069399183837232,0.5373416228989429,0.9909940066310324,1.5066616147072145,0.8189665032485426,0.0,0.0,0,False
0.07092005374980755,1.0697993183009806,0.5375845455273315,0.9901271270565078,1.506773772105398,0.8193003800880672,0.0,0.0,0,False
0.07216426521910242,1.0701995835084757,0.5378273800328598,0.9892600556571874,1.5068856907064132,0.8196340874883316,0.0,0.0,0,False
0.07340847668839728,1.0705999795493235,0.5380701263671814,0.9883927925176311,1.5069973704993669,0.8199676254158415,0.0,0.0,0,False
0.07465268815769216,1.0710005065131196,0.5383127844818874,0.9875253377223612,1.5071088114733315,0.8203009938370815,0.0,0.0,0,False
0.07589689962698702,1.0714011644894474,0.5385553543285051,0.9866576913558652,1.5072200136173453,0.8206341927185147,0.0,0.0,0,False
