X,Y,Z
55.034999999910205,0.0,0.0
54.8894630250221,10.972987101319422,0.3216185698559564
54.46547766395664,21.903023563184604,1.2648612983499363
53.79324915358022,32.75662577627137,2.7780176803997434
52.90823709572789,43.51203265352678,4.799441574819895
51.840588794636325,54.155106369148136,7.2767857055690115
50.61150087011025,64.67392867374174,10.174699119563176
49.233808972423326,75.05504440938384,13.47458322604972
47.7142401242614,85.28181101490524,17.170354423644625
46.05592370542409,95.33441459268839,21.262906398593685
44.26067073056036,105.19113378142225,25.754588735937023
42.33084212628351,114.830495453154,30.644486453419436
40.270656837140386,124.23384143564142,35.92516424903989
38.08679811701802,133.38763200855416,41.581367980098314
35.78829857216027,142.28482601143241,47.590704803744096
33.385877953324595,150.9250116881549,53.92574584275019
30.89102589377951,159.3134056118483,60.55671240937777
28.315099808982055,167.45911093128782,67.45403752467195
25.668589068353256,175.37301568753747,74.59046937951068
22.96057378976439,183.0655210248765,81.94273196851618
20.19834648858018,190.54411814022592,89.49290882572453
17.387158629052585,197.81075398931657,97.22969897002855
14.530068454277023,204.8589029382735,105.14960355836774
11.627884417162342,211.6702531735619,113.25797990694389
8.67921665477337,218.21091736705688,121.56974012811845
5.680672791701803,224.42712385355435,130.10924376076323
2.627287632321104,230.2406737477631,138.90852446926158
-0.48632793677782715,235.545552874664,148.0024554466863
-3.662309031392602,240.20963632783003,157.41941067245352
-6.894959170452594,244.08847787780007,167.16652259591203
-10.167924960502589,247.0594063526622,177.21396829939985
-13.455858255637114,249.07379565447067,187.49140955535512
-16.732483717913098,250.20060529513037,197.90820057579776
-19.981203754394443,250.62373284229707,208.38719759735267
-23.2004337220327,250.58654783953176,218.8846752630984
-26.399810207094827,250.31567240414736,229.38516981026666
-29.590501620065634,249.95961520076864,239.88583694871016
-32.77626764140275,249.56186268048572,250.38650469690285
-35.95670128250003,249.12350884221382,260.8871724443222
-39.13128511584316,248.64462501738254,271.38784019174665
-42.29950266744324,248.125289116137,281.8885079391717
-45.460838498925824,247.56558562928723,292.3891756865964
-48.61477829140586,246.96560561460143,302.889843434021
-51.760808929445375,246.32544668346893,313.3905111814459
-54.898418584342004,245.64521298385134,323.8911789288708
-58.02709679724236,244.9250151827326,334.39184667629536
-61.146334562397534,244.16497044915977,344.8925144237201
-64.2556244101185,243.36520243564055,355.393182171145
-67.35446048899698,242.52584125661994,365.8938499185695
-70.44233864820022,241.6470234674698,376.3945176659939
-73.51875651990632,240.7288920437405,386.8951854134185
-76.58321360077215,239.771596356857,397.3958531608432
-79.63521133312928,238.7752921491476,407.89652090826763
-82.6742531863695,237.74014150945465,418.39718865569216
-85.69984473795608,236.66631284735044,428.89785640311686
-88.71149375338948,235.55398086433283,439.3985241505414
-91.70871026627705,234.4033265254953,449.8991918979658
