z,s,u,v,X,Y,Z,Phi,kappa_n,newton_iters,bisected,ratio
0.0,0.0,1.0471975511965976,0.5235987755982988,1.0392304845413267,1.5,0.7999999999999999,0.0,0.0,0,0,0.0
0.01244584856900993,0.00930821399528692,1.0511289427385853,0.5260791584172894,1.0306647090870324,1.5012355282629848,0.8034344548093021,-5.3162363400360846e-11,-0.4007096132807582,1,0,0.9981839363826976
0.02489169713801986,0.01862396267694665,1.0550724913702194,0.5285507215815829,1.022080409676783,1.5024469842707193,0.8068517809008103,-2.274774812960345e-11,-0.39955204401250055,1,0,1.0001930512818442
0.03733754570702979,0.027949345046546052,1.0590291054543457,0.5310140771621721,1.0134758063032778,1.5036344837646027,0.8102528545075898,-1.8055001937966608e-12,-0.3984028758303309,1,0,0.999606392167661
0.04978339427603972,0.0372829729476204,1.0629983566361372,0.5334686474389301,1.0048522377899982,1.5047980413424202,0.8136369081216991,-5.1182946769756654e-12,-0.39726236105956586,1,0,0.9997491844296602
0.06222924284504965,0.046625507358019305,1.0669805603370797,0.535914632247112,0.9962092371625216,1.505937619768342,0.8170042487907392,-4.376499163072367e-12,-0.3961303781528457,1,0,0.9997090809033473
0.07467509141405958,0.05597674505692859,1.0709757240075366,0.5383518910811447,0.9875470947901497,1.5070532217860388,0.8203547147222374,-4.68158845023936e-12,-0.3950069662212233,1,0,0.9997097066097659
0.08712093998306951,0.06533679649804891,1.0749839658503,0.5407804083485328,0.978865826033669,1.5081448310230041,0.8236883168588034,-4.798439423581158e-12,-0.39389210488308707,1,0,0.9997028357139005
0.09956678855207944,0.07470566808424871,1.0790053674464928,0.5432001257748327,0.9701655367751161,1.5092124380257934,0.8270050080734341,-4.939049169649934e-12,-0.39278579293388904,1,0,0.9996968402534319
0.11201263712108937,0.08408339833639593,1.0830400215831393,0.5456109975491863,0.961446304353297,1.51025603052785,0.8303047590136272,-5.0858206535053796e-12,-0.3916880226865638,1,0,0.9996910225750295
0.1244584856900993,0.09347001622320297,1.0870880175879967,0.548012973416409,0.9527082140365527,1.5112755966288023,0.8335875348813743,-5.2300386244041874e-12,-0.3905987878238705,1,0,0.9996850862147213
0.13690433425910922,0.10286555323500629,1.0911494455825834,0.5504060035422288,0.943951348447845,1.512271123856886,0.8368533021077694,-5.378086864737952e-12,-0.3895180811596748,1,0,0.9996792568249383
0.14935018282811915,0.11227004009438617,1.0952243953222796,0.5527900371446554,0.9351757904473694,1.5132425994834318,0.8401020264805302,-5.527689417306192e-12,-0.38844589528323764,1,0,0.9996734337531568
0.1617960313971291,0.12168350761268099,1.0993129564804929,0.5551650228436741,0.9263816223931924,1.5141900104345918,0.8433336736242497,-5.678846282108907e-12,-0.3873822224171832,1,0,0.9996676577048573
0.17424187996613902,0.13110598649127356,1.103415218566802,0.5575309085684946,0.9175689263226899,1.5151133433165993,0.8465482088756492,-5.8318350149022535e-12,-0.3863270544759526,1,0,0.9996619163101538
0.18668772853514895,0.14053750737082307,1.1075312709297203,0.5598876415709017,0.9087377839181622,1.5160125844105456,0.8497455973036909,-5.986711126837463e-12,-0.3852803830762148,1,0,0.9996562157351694
0.19913357710415888,0.14997810082929902,1.1116612027419766,0.5622351684158152,0.8998882765166858,1.5168877196748174,0.852925803698577,-6.142752972948529e-12,-0.3842421995570684,1,0,0.9996505563763927
0.21157942567316881,0.15942779738737256,1.1158051029875815,0.5645734349757395,0.8910204851137795,1.5177387347456262,0.8560887925660152,-6.3014038431674635e-12,-0.3832124949982364,1,0,0.9996449401746466
0.22402527424217875,0.16888662751416486,1.1199630604488129,0.5669023864250449,0.8821344903666047,1.5185656149379139,0.8592345281212186,-6.461275958713486e-12,-0.38219126023799765,1,0,0.9996393684773127
0.23647112281118868,0.17835462163246474,1.1241351636926087,0.5692219672340916,0.8732303725976183,1.519368345246265,0.8623629742826513,-6.623090964552603e-12,-0.381178485890874,1,0,0.9996338428409303
0.2489169713801986,0.18783181012345532,1.128321501056411,0.5715321211631399,0.8643082117986148,1.5201469103459162,0.8654740946654441,-6.786515793777426e-12,-0.3801741623650894,1,0,0.9996283647402437
0.2613628199492085,0.19731822333141721,1.132522160633615,0.5738327912562483,0.8553680876347558,1.5209012945938083,0.8685678525747506,-6.951716979841649e-12,-0.3791782798797223,1,0,0.9996229356424141
0.27380866851821845,0.2068138915688001,1.136737230258768,0.5761239198353073,0.8464100794482339,1.5216314820296366,0.8716442109992395,-7.118527989291579e-12,-0.3781908284815022,1,0,0.9996175570333283
0.2862545170872284,0.2163188451224388,1.1409667974928,0.57840544849451,0.8374342662608755,1.5223374563767953,0.874703132605119,-7.286338199463671e-12,-0.3772117980611342,1,0,0.9996122305498024
0.2987003656562383,0.22583311425707847,1.1452109496068783,0.5806773180937355,0.8284407267790953,1.5230192010437242,0.8777445797286488,-7.455924766475164e-12,-0.3762411783697639,1,0,0.9996069577010483
0.31114621422524824,0.23535672921988324,1.149469773566218,0.5829394687523048,0.8194295393979417,1.5236766991252053,0.8807685143690973,-7.62745422377975e-12,-0.3752789590350011,1,0,0.9996017399791738
0.3235920627942582,0.2448897202453305,1.1537433560136328,0.5851918398428688,0.8104007822047538,1.5243099334036765,0.8837748981818163,-7.799871859504037e-12,-0.37432512957660924,1,0,0.9995965789073847
0.3360379113632681,0.2544321175611327,1.1580317832530678,0.5874343699856638,0.8013545329818609,1.5249188863504748,0.8867636924717424,-7.974176874370187e-12,-0.3733796794217765,1,0,0.9995914761530555
0.34848375993227804,0.26398395139162606,1.1623351412317742,0.589666997041757,0.7922908692115014,1.5255035401275017,0.8897348581854824,-8.149370067656037e-12,-0.37244259792050827,1,0,0.9995864332695431
0.36092960850128797,0.2735452519620806,1.1666535155224038,0.5918896581066292,0.7832098680798841,1.5260638765888566,0.8926883559037816,-8.326450640083749e-12,-0.3715138743606189,1,0,0.9995814517998015
0.3733754570702979,0.28311604950338365,1.1709869913048194,0.5941022895038797,0.7741116064808763,1.5265998772824987,0.8956241458340841,-8.504641435536087e-12,-0.3705934979824174,1,0,0.9995765333227943
0.38582130563930783,0.29269637425695794,1.175335653347566,0.5963048267789954,0.7649961610194402,1.5271115234519588,0.8985421878031006,-8.683609387105662e-12,-0.3696814579931153,1,0,0.9995716794852413
0.39826715420831776,0.3022862564783802,1.1796995859884258,0.5984972046925687,0.7558636080161893,1.527598796038375,0.9014424412485635,-8.864242673212175e-12,-0.36877774358119486,1,0,0.9995668919795669
0.4107130027773277,0.3118857264421245,1.1840788731149459,0.600679357213948,0.7467140235109067,1.5280616756824228,0.9043248652114779,-9.046152715797007e-12,-0.3678823439303725,1,0,0.9995621726249426
0.42315885134633763,0.32149481444525646,1.1884735981440715,0.6028512175145634,0.7375474832670014,1.5285001427263767,0.9071894183278509,-9.229061959104001e-12,-0.36699524823345586,1,0,0.9995575230216092
0.43560469991534756,0.33111355081114957,1.1928838440013514,0.6050127179611972,0.7283640627758985,1.5289141772163362,0.9100360588202631,-9.412637336225771e-12,-0.36611644570598956,1,0,0.9995529447412949
0.4480505484843575,0.34074196589368244,1.1973096930998572,0.6071637901094408,0.7191638372609671,1.5293037589044542,0.9128647444895898,-9.59748946982586e-12,-0.3652459255996097,1,0,0.9995484393893201
0.4604963970533674,0.35038009008236926,1.2017512273189932,0.6093043646975064,0.7099468816805776,1.5296688672510785,0.9156754327070895,-9.78378489335796e-12,-0.3643836772150606,1,0,0.9995440087095875
0.47294224562237736,0.36002795380452507,1.2062085279816586,0.6114343716389518,0.7007132707338188,1.5300094814274283,0.918468080404961,-9.97002480573883e-12,-0.36352968991540363,1,0,0.9995396542866519
0.4853880941913873,0.36968558752827013,1.210681675831231,0.6135537400157555,0.6914630788654443,1.5303255803182152,0.9212426440672581,-1.0157596985749251e-11,-0.3626839531388972,1,0,0.9995353776425578
0.4978339427603972,0.3793530217680647,1.21517075100904,0.6156623980723755,0.6821963802685129,1.5306171425238717,0.9239990797219808,-1.0345724277271984e-11,-0.3618464564113321,1,0,0.9995311805091331
0.5102797913294072,0.3890302870885938,1.219675833030683,0.6177602732092389,0.6729132488885085,1.5308841463630782,0.9267373429323004,-1.053490628066811e-11,-0.36101718935839777,1,0,0.9995270646675217
0.522725639898417,0.39871741410569805,1.224197000760637,0.6198472919752173,0.6636137584301387,1.5311265698758285,0.9294573887863413,-1.0724754417879012e-11,-0.360196141718237,1,0,0.9995230316531198
0.535171488467427,0.40841443348947254,1.228734332387177,0.6219233800610029,0.6542979823621773,1.5313443908261393,0.9321591718880171,-1.0914769088543608e-11,-0.3593833033535113,1,0,0.9995190829924367
0.5476173370364369,0.41812137597118904,1.2332879053982957,0.6239884622939569,0.6449659939188238,1.5315375867040748,0.9348426463496486,-1.1105227848418053e-11,-0.35857866426279283,1,0,0.9995152206087468
