s,z_orig,r_orig,z_smooth,r_smooth,dr_orig,dz_orig,dr_smooth,dz_smooth,curvature_orig,curvature_smooth
110.797063,51.941377,152.169030,52.437433,152.268376,0.774445,0.632637,0.771854,0.628708,0.00323271,0.00291847
112.312942,52.903254,153.340645,53.393330,153.436178,0.771354,0.636401,0.768778,0.632622,0.00319324,0.00370657
113.819979,53.865131,154.500797,54.349769,154.592333,0.768302,0.640083,0.765674,0.636529,0.00315369,0.00297306
115.318467,54.827009,155.649821,55.306194,155.737601,0.765288,0.643684,0.762882,0.639999,0.00311416,0.00302090
116.808687,55.788886,156.788042,56.262454,156.872420,0.762311,0.647207,0.760172,0.643337,0.00307473,0.00279617
118.290907,56.750763,157.915769,57.218576,157.997069,0.759373,0.650652,0.757233,0.646917,0.00303547,0.00350467
119.765384,57.712641,159.033300,58.175180,159.111321,0.756472,0.654023,0.754247,0.650515,0.00299648,0.00288831
121.232364,58.674518,160.140921,59.131829,160.215812,0.753608,0.657320,0.751557,0.653719,0.00295780,0.00285971
122.692083,59.636395,161.238906,60.088373,161.310932,0.750782,0.660547,0.748898,0.656859,0.00291952,0.00282043
124.144766,60.598273,162.327519,61.044835,162.396918,0.747992,0.663704,0.746240,0.659968,0.00288169,0.00285407
125.590627,61.560150,163.407012,62.001400,163.473856,0.745238,0.666795,0.743381,0.663277,0.00284437,0.00324012
127.029873,62.522028,164.477629,62.958368,164.541718,0.742520,0.669821,0.740632,0.666427,0.00280763,0.00261260
128.462700,63.483905,165.539603,63.915276,165.601128,0.739837,0.672783,0.738114,0.669285,0.00277150,0.00274325
129.889299,64.445782,166.593156,64.872138,166.652291,0.737189,0.675684,0.735554,0.672165,0.00273605,0.00269788
131.309848,65.407660,167.638503,65.828971,167.695401,0.734574,0.678526,0.733061,0.674946,0.00270132,0.00259743
132.724520,66.369537,168.675851,66.785849,168.730591,0.731992,0.681310,0.730355,0.677937,0.00266736,0.00314481
134.133480,67.331414,169.705395,67.743159,169.757694,0.729443,0.684039,0.727710,0.680832,0.00263421,0.00246091
135.536887,68.293292,170.727325,68.700451,170.777302,0.726925,0.686715,0.725312,0.683433,0.00260192,0.00261523
136.934889,69.255169,171.741822,69.657736,171.789580,0.724437,0.689338,0.722874,0.686056,0.00257053,0.00254219
138.327633,70.217046,172.749059,70.615024,172.794685,0.721980,0.691912,0.720470,0.688622,0.00254008,0.00254173
139.715254,71.178924,173.749201,71.572325,173.792770,0.719551,0.694438,0.718093,0.691139,0.00251060,0.00248180
141.097885,72.140801,174.742408,72.529715,174.783915,0.717150,0.696917,0.715551,0.693806,0.00248214,0.00288280
142.475651,73.102678,175.728831,73.487457,175.768011,0.714776,0.699352,0.713071,0.696387,0.00245474,0.00234801
143.848671,74.064556,176.708615,74.445217,176.745517,0.712428,0.701744,0.710785,0.698745,0.00242844,0.00246654
145.217059,75.026433,177.681897,75.403003,177.716557,0.710104,0.704095,0.708469,0.701118,0.00240326,0.00241239
146.580925,75.988310,178.648810,76.360820,178.681254,0.707804,0.706407,0.706182,0.703442,0.00237925,0.00239958
147.940370,76.950188,179.609479,77.318677,179.639720,0.705527,0.708681,0.703900,0.705743,0.00235645,0.00239967
149.295495,77.912065,180.564024,78.276578,180.592065,0.703271,0.710920,0.701659,0.707988,0.00233488,0.00231221
150.646392,78.873942,181.512556,79.234561,181.538361,0.701036,0.713125,0.699266,0.710364,0.00231459,0.00271271
151.993149,79.835820,182.455184,80.192865,182.478465,0.698819,0.715297,0.696908,0.712688,0.00229561,0.00223446
153.335852,80.797697,183.392010,81.151217,183.412751,0.696619,0.717439,0.694723,0.714825,0.00227797,0.00234738
