z,s,u,v,X,Y,Z,Phi,sigma,newton_iters,bisected,ratio,converged
0.0,0.0,2345.3152771719747,45.11605191559353,4216984.869673001,9026632.941404277,-3349309.112954622,0.0,5000.0,0,0,0.0,False
0.5699550133847968,2849.775066923984,2345.0433125144,45.11601908364746,4214820.776959127,9021228.234139364,-3347355.039636485,1.7601996660232544e-07,5000.000000000001,3,0,2.154506571883884,True
1.1399100267695936,5699.550133847968,2344.7721000192673,45.1160806205043,4211813.259587547,9016237.787184956,-3345407.127454554,1.255422830581665e-06,5000.0,4,0,2.1554064271775,True
1.7098650401543904,8549.325200771953,2344.5002575482026,45.11606134066007,4209529.876154148,9010896.682860425,-3343455.4489057045,4.5821070671081543e-07,5000.0,2,0,2.149866601187693,True
2.2798200535391873,11399.100267695936,2344.2284193927594,45.11603816293064,4207282.385784762,9005541.399964806,-3341504.5603236817,4.9192458391189575e-06,5000.0,2,0,2.1494641853162295,True
2.849775066923984,14248.87533461992,2343.95639982188,45.11598671592715,4205288.393740073,9000065.888033006,-3339553.1293748966,6.598420441150665e-07,5000.0,2,0,2.1560117860725865,True
3.419730080308781,17098.650401543906,2343.68454330232,45.115947894719376,4203182.7143599,8994648.87255247,-3337603.6271456387,6.51925802230835e-06,5000.0,3,0,2.1506733101433646,True
3.989685093693578,19948.425468467893,2343.413253530837,45.115979041930785,4200453.7184609715,8989538.94622797,-3335658.9453727403,5.122274160385132e-09,5000.0,2,0,2.1438545069987014,True
4.5596401070783745,22798.200535391876,2343.1427459891497,45.11610565484927,4196875.326976039,8984846.696051026,-3333720.6229106556,-6.039626896381378e-07,5000.0,2,0,2.17911480576031,True
5.129595120463171,25647.97560231586,2342.8717277220007,45.116175508845195,4193804.229735569,8979907.828841427,-3331779.3938067667,-4.7963112592697144e-08,4999.999999999999,2,0,2.151070722043529,True
5.699550133847968,28497.750669239842,2342.599218365227,45.11614369523956,4191633.797106126,8974515.731252935,-3329828.244195607,2.8726644814014435e-06,4999.999999999999,3,0,2.1510721962737995,True
6.269505147232765,31347.52573616383,2342.326503316829,45.1162114524419,4188569.048340826,8969538.970963383,-3327876.384400456,4.050787538290024e-06,4999.999999999999,2,0,2.1618605386922454,True
6.839460160617562,34197.30080308781,2342.052777572149,45.11626516171355,4185622.7883499246,8964485.60851985,-3325918.0578489937,6.05359673500061e-08,5000.0,3,0,2.164175217492912,True
7.409415174002358,37047.075870011795,2341.7769845933553,45.11614937019633,4184178.0150972614,8958685.093382418,-3323945.7185360985,1.069623976945877e-06,5000.0,3,0,2.2084031825640222,True
7.979370187387156,39896.850936935785,2341.500752012032,45.116095463393286,4182174.926253788,8953137.49706432,-3321971.016961083,2.789311110973358e-07,5000.0,3,0,2.1821729664444085,True
8.549325200771952,42746.62600385976,2341.224245167961,45.11612839017827,4179392.802391814,8947949.9154525,-3319995.137963498,4.830304533243179e-06,4999.999999999999,2,0,2.1784384362039595,True
9.119280214156749,45596.40107078375,2340.9463863704414,45.11609047556214,4177233.3632649155,8942442.35135698,-3318010.3872822914,1.257285475730896e-07,5000.0,2,0,2.1891551721519455,True
9.689235227541547,48446.17613770774,2340.6675759048017,45.11603714348587,4175203.739071238,8936854.416653577,-3316019.633838285,1.4496035873889923e-06,5000.0,3,0,2.199580564359452,True
10.259190240926342,51295.95120463172,2340.388114187362,45.116012793814185,4172909.830577443,8931377.290701887,-3314025.029359873,1.9073486328125e-06,5000.0,3,0,2.1976740193289728,True
10.82914525431114,54145.72627155571,2340.1076921197555,45.11595058980054,4170945.9197437167,8925726.094596239,-3312024.3744776486,2.468004822731018e-08,5000.0,2,0,2.2131916417110187,True
11.399100267695935,56995.501338479684,2339.8273894180174,45.11600229797636,4167967.2753958595,8920554.481313339,-3310025.375818904,2.7939677238464355e-09,5000.000000000001,2,0,2.20813459093974,True
11.969055281080733,59845.276405403674,2339.5463534512382,45.116035338703526,4165150.036413801,8915292.91597795,-3308021.955268458,2.112705260515213e-06,5000.0,3,0,2.2087109749943887,True
12.53901029446553,62695.051472327665,2339.263536371548,45.11587781952761,4164016.0046866946,8909205.821936961,-3306006.6537340507,1.1874362826347351e-07,5000.0,4,0,2.284454753867176,True
13.108965307850326,65544.82653925165,2338.980860056369,45.11583818307255,4161832.8997351485,8903614.883699821,-3303993.173094294,2.9848888516426086e-07,5000.0,2,0,2.2210460074301066,True
13.678920321235124,68394.60160617564,2338.69814691296,45.11589070603353,4158830.0033761915,8898408.942551566,-3301980.247753316,5.058012902736664e-06,5000.0,2,0,2.2236050209243943,True
14.248875334619921,71244.37667309963,2338.414693057866,45.11592085591856,4156021.0245452966,8893097.729430255,-3299962.8692508196,3.259629011154175e-09,5000.0,2,0,2.223551738521717,True
14.818830348004717,74094.1517400236,2338.130542151596,45.11593281418137,4153368.843385337,8887699.653385801,-3297941.3544087643,-5.0370581448078156e-06,5000.0,1,0,2.226058463746173,True
15.388785361389514,76943.9268069476,2337.8456144840643,45.11590899809859,4151028.632269593,8882140.36261778,-3295915.1424064464,1.2759119272232056e-07,5000.0,2,0,2.2323520039992637,True
