s,X,Y,Z,lambda,phi
325.115054521365,-122.47181960641,330.419810500664,523.236806300726,367.547584594721,-4.52970994047064e-14
329.39288418612,-127.728980321725,328.423362985906,538.898547848373,378.759319744835,8.88178419700125e-16
333.670713850875,-133.266417606678,326.215664411264,555.068046574806,390.571700292133,1.15463194561016e-14
337.94854351563,-138.678613170594,323.951910039254,572.057327581855,403.187769319129,5.32907051820075e-15
342.226373180385,-144.256320925307,321.506938715317,589.746972652661,416.560249578409,2.8421709430404e-14
346.50420284514,-150.190475407571,318.77800875507,607.318544129949,429.968583798557,8.88178419700125e-15
350.782032509894,-155.719512875029,316.113952679985,625.282180721887,443.716123560303,1.95399252334028e-14
355.059862174649,-161.35353354954,313.215094963871,643.614972287047,457.882207187049,-5.32907051820075e-15
359.337691839404,-166.622654763924,309.923609471335,661.804521199903,471.820372505112,-2.66453525910038e-14
363.615521504159,-171.43794400611,306.102517262351,677.909199193617,483.661112048156,-2.30926389122033e-14
367.893351168914,-175.515895310797,301.974543466989,692.186685443105,493.588410877912,1.77635683940025e-14
372.171180833668,-178.970728820055,297.604652471711,704.950023212123,501.937128431146,2.8421709430404e-14
376.449010498423,-181.801189569429,293.115301885697,716.471083114554,508.974045769139,7.105427357601e-15
380.726840163178,-184.448495101354,288.649100120396,725.974661603139,514.106022207389,0
385.004669827933,-186.51322373166,284.28497436532,734.708222316809,518.392597193731,3.5527136788005e-15
389.282499492688,-188.575804371091,279.711897083603,742.746024634792,522.052755029436,3.90798504668055e-14
393.560329157442,-190.31452803261,275.243175301336,750.052519261323,524.975641790423,0
397.838158822197,-191.818765163454,270.91309138926,756.630332476313,527.18665596349,3.5527136788005e-14
402.115988486952,-193.127642421106,266.69639344972,762.64042299291,528.843978038193,-2.1316282072803e-14
406.393818151707,-194.319002950134,262.660689208797,767.993611849835,529.883443958523,-1.77635683940025e-14
410.671647816462,-195.344178438977,258.879767513762,772.752211776675,530.345894829801,1.06581410364015e-14
414.949477481217,-196.250535378313,255.196588161792,777.190921335382,530.498303983798,1.06581410364015e-14
419.227307145971,-197.056340260701,251.612199258366,781.335628461191,530.368164411289,7.105427357601e-15
423.505136810726,-197.743044406457,248.214229283127,785.131723168886,529.895663653985,-7.105427357601e-15
427.782966475481,-198.462419828664,244.961026420832,788.524695443037,529.06963986737,-7.105427357601e-15
432.060796140236,-199.069539536679,241.865842710998,791.683558868406,528.005613610208,1.4210854715202e-14
436.338625804991,-199.531502064235,239.007021796194,794.577045501537,526.660106617746,-1.4210854715202e-14
440.616455469745,-199.943060310967,236.342958370641,797.192311709573,525.04563536148,-7.105427357601e-15
444.8942851345,-200.319645133268,233.743798897836,799.680369357319,523.311090712393,7.105427357601e-15
449.172114799255,-200.658159255914,231.273881906279,801.987144196874,521.40106688646,-3.5527136788005e-15
453.44994446401,-200.946414905226,228.952463913673,804.118426546345,519.31511320607,7.105427357601e-15
457.727774128765,-201.197890262094,226.746531768955,806.108634030066,517.089348074528,0
462.005603793519,-201.417552892953,224.713170678553,807.908164541336,514.674065341857,1.4210854715202e-14
466.283433458274,-201.607048425921,222.824040229341,809.554892010499,512.105248907709,1.06581410364015e-14
470.561263123029,-201.770205678975,220.965051306746,811.160842797664,509.495019187937,0
474.839092787784,-201.907675386116,219.213874641705,812.656940260244,506.773289780774,0
479.116922452539,-202.020314380179,217.560912282875,814.057062003066,503.953066026812,0
483.394752117293,-202.115094120497,215.990211950847,815.374458788132,501.049044645671,7.105427357601e-15
487.672581782048,-202.190989027223,214.514543706132,816.602814934405,498.053429542354,-1.4210854715202e-14
491.950411446803,-202.249915057313,213.119779550046,817.756677271578,494.980793483171,7.105427357601e-15
496.228241111558,-202.294375694675,211.768612563034,818.868668301835,491.864850330794,-7.105427357601e-15
500.506070776313,-202.325441884902,210.467432522787,819.934298146522,488.700872984597,-1.4210854715202e-14
504.783900441067,-202.345237101871,209.220118191702,820.950482878471,485.485898501369,0
509.061730105822,-202.352914508778,208.011655064322,821.931899325247,482.234441196637,0
513.339559770577,-202.35053334969,206.855622226678,822.867273178766,478.935047025165,-2.1316282072803e-14
517.617389435332,-202.33866088055,205.750884897887,823.758620091374,475.589560295614,-1.4210854715202e-14
521.895219100087,-202.317160512233,204.646305242429,824.647641170881,472.241531550332,2.1316282072803e-14
526.173048764842,-202.286804548814,203.563543013377,825.516979753878,468.872852536574,-7.105427357601e-15
530.450878429596,-202.247672072243,202.500052963991,826.369142995245,465.486037608643,0
534.728708094351,-202.201200963383,201.446680197198,827.210523337907,462.088281789202,0
539.006537759106,-202.146717796811,200.413021326941,828.034710374691,458.672388567721,2.8421709430404e-14
543.284367423861,-202.083656420584,199.38420150429,828.853731052964,455.250928607475,-7.105427357601e-15
547.562197088616,-202.010587591412,198.340026343146,829.683723325226,451.840776784805,7.105427357601e-15
551.84002675337,-201.927961847565,197.288074603935,830.518493595825,448.435553603537,-7.105427357601e-15
556.117856418125,-201.834576838972,196.2258126653,831.360630777254,445.037725096422,0
560.39568608288,-201.731196026142,195.141888454007,832.2174915887,441.655749272718,-7.105427357601e-15
564.673515747635,-201.616624648284,194.048974306304,833.080528910845,438.280033429683,-7.105427357601e-15
568.95134541239,-201.491530948952,192.946658124598,833.949367213613,434.910541960495,7.105427357601e-15
573.229175077144,-201.350519935619,191.790736472602,834.858425789944,431.583458294847,7.105427357601e-15
577.507004741899,-201.194635798765,190.595298068809,835.796045732677,428.286848192422,-7.105427357601e-15
581.784834406654,-201.02411713695,189.361217736425,836.760550903452,425.019431540628,-7.105427357601e-15
586.062664071409,-200.835009738142,188.07594777666,837.762284613384,421.791811204467,2.1316282072803e-14
590.340493736164,-200.631132057474,186.771345387032,838.776203543641,418.577871613285,1.4210854715202e-14
594.618323400918,-200.407373046285,185.423691312295,839.820999276691,415.397159429992,-2.1316282072803e-14
598.896153065673,-200.158971352958,183.970471838389,840.939271148873,412.297215133382,-7.105427357601e-15
603.173982730428,-199.886495950468,182.458024034695,842.098380878079,409.242288167415,-1.4210854715202e-14
607.451812395183,-199.591785069159,180.874465115343,843.30293308546,406.239491443121,0
611.729642059938,-199.265919927536,179.210468765554,844.562933593484,403.298145472448,1.4210854715202e-14
616.007471724693,-198.9183042852,177.487079015572,845.856883185656,400.398310382069,1.4210854715202e-14
620.285301389447,-198.544962526869,175.702760392427,847.18683569063,397.541933425897,2.8421709430404e-14
624.563131054202,-198.131411842147,173.787980933939,848.601788348331,394.783047358049,-1.4210854715202e-14
628.840960718957,-197.673328468942,171.75492780973,850.093584378355,392.112837278987,-1.4210854715202e-14
633.118790383712,-197.170699852623,169.625526771791,851.646035589127,389.514333851361,7.105427357601e-15
637.396620048467,-196.645734719452,167.354150017617,853.266932501135,387.009401146252,7.105427357601e-15
641.674449713221,-196.063891016533,164.997465474762,854.943543386378,384.570361374293,1.4210854715202e-14
645.952279377976,-195.467024246301,162.628757142097,856.606927255751,382.130851600557,2.1316282072803e-14
650.230109042731,-194.786861506467,160.031018817925,858.414294949811,379.862887675178,-1.4210854715202e-14
654.507938707486,-194.038417397413,157.257200726495,860.32077785347,377.722186573339,7.105427357601e-15
658.785768372241,-193.282178349082,154.344990076984,862.263516476526,375.659582304881,0
663.063598036995,-192.432326282638,151.282921328878,864.297221150601,373.712426193345,-2.1316282072803e-14
667.34142770175,-191.521602410412,148.086167104317,866.388826857506,371.857394874149,-2.8421709430404e-14
671.619257366505,-190.563616779258,144.831814845609,868.489964181237,370.038594860463,-1.4210854715202e-14
675.89708703126,-189.583724380515,141.36703156824,870.652381351095,368.345667768963,-7.105427357601e-15
680.174916696015,-188.496160515175,137.645623227022,872.940159157698,366.836532198297,7.105427357601e-15
684.45274636077,-187.376476895575,133.73391004309,875.270625589695,365.44005795743,1.4210854715202e-14
688.730576025524,-185.994524816644,129.737755435078,877.728371154165,364.168797089845,-1.4210854715202e-14
693.008405690279,-184.814964513967,125.40825328732,880.137106925053,363.016138750743,-2.1316282072803e-14
697.286235355034,-183.408327163855,120.967815454456,882.649384387706,361.991122860479,1.06581410364015e-14
701.564065019789,-181.939680098077,116.444251689275,885.155385584829,361.019105783681,2.48689957516035e-14
705.841894684544,-180.282310814759,111.809889509346,887.733263545864,360.161580455851,-1.06581410364015e-14
710.119724349298,-178.489916990223,106.880651519023,890.408671781748,359.511913207476,-1.77635683940025e-14
714.397554014053,-176.640020139613,101.681208936874,893.117761329115,359.026140618366,-2.48689957516035e-14
718.675383678808,-174.604659825123,96.3482243465322,895.87766751987,358.665328256005,-1.4210854715202e-14
722.953213343563,-172.217233326575,90.9308143903587,898.757068049476,358.459126783384,7.105427357601e-15
727.231043008318,-169.752171965292,85.2623744553994,901.646381666865,358.410469575004,-1.06581410364015e-14
731.508872673072,-167.363499555472,79.4734842940261,904.419412285846,358.385856480487,1.4210854715202e-14
735.786702337827,-164.674856519769,73.7315941017955,907.230533455886,358.421258124522,3.19744231092045e-14
740.064532002582,-161.464090779077,67.7295887136862,910.260640742591,358.77733704108,1.77635683940025e-14
744.342361667337,-158.466922931072,61.3773973200383,913.12891984351,359.237288616271,-1.06581410364015e-14
748.620191332092,-155.218285316719,54.9010535575546,916.015091858624,359.836233362658,-2.1316282072803e-14
752.898020996847,-151.813588703058,48.5887868300311,918.813315274495,360.376088394062,-7.105427357601e-15
757.175850661601,-148.474622849777,41.7680733986849,921.513897321696,361.148252140558,-1.77635683940025e-15
761.453680326356,-144.772742195704,34.86594248672,924.244767607183,362.068568998827,-3.73034936274053e-14
765.731509991111,-141.327465745775,27.9838259396045,926.679308287264,362.842783500189,-1.59872115546023e-14
770.009339655866,-137.632447077482,20.7610856701283,929.089800007067,363.851849190139,7.99360577730113e-15
774.287169320621,-133.824062747759,13.7181579583807,931.351778406735,364.759463424555,-1.15463194561016e-14
778.564998985375,-130.141412069726,6.50412873583235,933.365268665708,365.651479941638,5.15143483426073e-14
782.84282865013,-125.833755943002,-0.739776339939425,935.462002918227,366.741254511864,-1.73194791841524e-14
787.120658314885,-123.042327897108,-8.44487097192888,936.622012449383,367.388971661009,4.45338210752766e-14
791.39848797964,-118.673223171234,-15.5479369442033,938.29109888024,368.283398852628,1.24344978758018e-14
