z,r,dr_dz,d2r_dz2,curvature
46.904392,145.832130,1.293921,-0.015020,0.003435
47.288854,146.328484,1.288183,-0.014831,0.003420
47.673317,146.822646,1.282517,-0.014645,0.003405
48.057779,147.314643,1.276922,-0.014462,0.003390
48.442241,147.804502,1.271397,-0.014281,0.003374
48.826703,148.292251,1.265941,-0.014104,0.003359
49.211166,148.777915,1.260552,-0.013930,0.003344
49.595628,149.261520,1.255230,-0.013758,0.003328
49.980090,149.743092,1.249973,-0.013589,0.003313
50.364552,150.222655,1.244781,-0.013423,0.003297
50.749015,150.700235,1.239653,-0.013259,0.003282
51.133477,151.175855,1.234586,-0.013098,0.003266
51.517939,151.649538,1.229581,-0.012939,0.003250
51.902401,152.121310,1.224637,-0.012784,0.003235
52.286863,152.591192,1.219752,-0.012630,0.003219
52.671326,153.059207,1.214925,-0.012479,0.003203
53.055788,153.525377,1.210156,-0.012331,0.003187
53.440250,153.989725,1.205444,-0.012185,0.003171
53.824712,154.452272,1.200787,-0.012041,0.003156
54.209175,154.913040,1.196185,-0.011899,0.003140
54.593637,155.372048,1.191637,-0.011760,0.003124
54.978099,155.829319,1.187142,-0.011623,0.003108
55.362561,156.284871,1.182700,-0.011489,0.003092
55.747024,156.738725,1.178309,-0.011356,0.003077
56.131486,157.190901,1.173968,-0.011226,0.003061
56.515948,157.641418,1.169677,-0.011097,0.003045
56.900410,158.090294,1.165435,-0.010971,0.003029
57.284872,158.537549,1.161241,-0.010847,0.003014
57.669335,158.983201,1.157095,-0.010725,0.002998
58.053797,159.427268,1.152995,-0.010604,0.002983
58.438259,159.869767,1.148941,-0.010486,0.002967
58.822721,160.310716,1.144932,-0.010370,0.002952
59.207184,160.750133,1.140967,-0.010255,0.002937
59.591646,161.188034,1.137046,-0.010142,0.002921
59.976108,161.624436,1.133168,-0.010032,0.002906
60.360570,162.059355,1.129333,-0.009923,0.002891
60.745033,162.492807,1.125539,-0.009815,0.002876
61.129495,162.924809,1.121785,-0.009710,0.002861
61.513957,163.355375,1.118072,-0.009606,0.002846
61.898419,163.784522,1.114399,-0.009504,0.002831
62.282881,164.212264,1.110765,-0.009404,0.002817
62.667344,164.638616,1.107168,-0.009305,0.002802
63.051806,165.063593,1.103610,-0.009208,0.002788
63.436268,165.487209,1.100088,-0.009112,0.002773
63.820730,165.909478,1.096603,-0.009018,0.002759
64.205193,166.330414,1.093154,-0.008926,0.002745
64.589655,166.750030,1.089740,-0.008835,0.002731
64.974117,167.168341,1.086360,-0.008746,0.002717
65.358579,167.585359,1.083015,-0.008658,0.002703
65.743042,168.001098,1.079703,-0.008571,0.002689
66.127504,168.415570,1.076424,-0.008486,0.002676
66.511966,168.828787,1.073178,-0.008403,0.002662
66.896428,169.240762,1.069963,-0.008321,0.002649
67.280890,169.651508,1.066780,-0.008240,0.002636
67.665353,170.061036,1.063627,-0.008161,0.002623
68.049815,170.469357,1.060505,-0.008083,0.002610
68.434277,170.876484,1.057412,-0.008006,0.002597
68.818739,171.282427,1.054349,-0.007931,0.002584
69.203202,171.687199,1.051314,-0.007857,0.002572
69.587664,172.090809,1.048308,-0.007784,0.002560
69.972126,172.493268,1.045329,-0.007712,0.002548
70.356588,172.894588,1.042378,-0.007642,0.002536
70.741051,173.294778,1.039453,-0.007573,0.002524
71.125513,173.693849,1.036555,-0.007505,0.002512
71.509975,174.091810,1.033682,-0.007439,0.002500
71.894437,174.488672,1.030835,-0.007373,0.002489
72.278899,174.884444,1.028012,-0.007309,0.002478
72.663362,175.279136,1.025214,-0.007246,0.002467
73.047824,175.672757,1.022440,-0.007184,0.002456
73.432286,176.065316,1.019690,-0.007124,0.002445
73.816748,176.456821,1.016963,-0.007064,0.002435
74.201211,176.847283,1.014258,-0.007006,0.002425
74.585673,177.236709,1.011576,-0.006949,0.002414
74.970135,177.625109,1.008915,-0.006892,0.002404
75.354597,178.012489,1.006276,-0.006837,0.002395
75.739060,178.398859,1.003658,-0.006783,0.002385
76.123522,178.784226,1.001060,-0.006730,0.002376
76.507984,179.168599,0.998483,-0.006678,0.002366
76.892446,179.551984,0.995925,-0.006627,0.002357
77.276908,179.934390,0.993387,-0.006577,0.002349
77.661371,180.315824,0.990868,-0.006529,0.002340
78.045833,180.696293,0.988367,-0.006481,0.002332
78.430295,181.075804,0.985885,-0.006434,0.002323
78.814757,181.454364,0.983420,-0.006388,0.002315
79.199220,181.831979,0.980972,-0.006343,0.002308
79.583682,182.208657,0.978542,-0.006300,0.002300
79.968144,182.584404,0.976128,-0.006257,0.002293
80.352606,182.959226,0.973731,-0.006215,0.002286
80.737069,183.333130,0.971350,-0.006174,0.002279
81.121531,183.706121,0.968984,-0.006134,0.002272
81.505993,184.078205,0.966633,-0.006095,0.002266
81.890455,184.449389,0.964297,-0.006057,0.002259
82.274917,184.819677,0.961976,-0.006020,0.002253
82.659380,185.189075,0.959668,-0.005984,0.002247
83.043842,185.557589,0.957375,-0.005948,0.002242
83.428304,185.925224,0.955094,-0.005914,0.002237
83.812766,186.291985,0.952827,-0.005880,0.002231
