z,r
-1.62569411558483e-16,55.035
0.384462231115558,56.1392981902373
0.768924462231115,57.2398209928202
1.15338669334667,58.3367205840913
1.53784892446223,59.4307951172918
1.92231115557779,60.5196475870664
2.30677338669335,61.6009865307312
2.6912356178089,62.6756022525092
3.07569784892446,63.7426452075615
3.46016008004002,64.8021207040256
3.84462231115558,65.8539869085546
4.22908454227113,66.8981064295859
4.61354677338669,67.9346141502892
4.99800900450225,68.9627834995727
5.38247123561781,69.9825366975091
5.76693346673337,70.9942877935482
6.15139569784892,71.9983294037837
6.53585792896448,72.9946754189078
6.92032016008004,73.983256544452
7.3047823911956,74.9641963510107
7.68924462231116,75.9374746578702
8.07370685342671,76.9030769154365
8.45816908454227,77.8611232543526
8.84263131565783,78.8115383394405
9.22709354677339,79.7544803726055
9.61155577788895,80.6898317692231
9.9960180090045,81.617434969004
10.3804802401201,82.5374913347963
10.7649424712356,83.4502239427491
11.1494047023512,84.3557473441326
11.5338669334667,85.2540844923071
11.9183291645823,86.1452909155679
12.3027913956978,87.0294595718608
12.6872536268134,87.9066251039069
13.071715857929,88.7768775729281
13.4561780890445,89.6402750138821
13.8406403201601,90.4968744757558
14.2251025512756,91.346763183508
14.6095647823912,92.189996385996
14.9940270135068,93.0266935827139
15.3784892446223,93.8568081835872
15.7629514757379,94.6802931947367
16.1474137068534,95.4972801627978
16.531875937969,96.3078820083739
16.9163381690845,97.1121517828896
17.3008004002001,97.910231576053
17.6852626313157,98.7022537273159
18.0697248624312,99.4882665012605
18.4541870935468,100.268380301995
18.8386493246623,101.042652684375
19.2231115557779,101.811177046615
19.6075737868934,102.574056989534
19.992036018009,103.331335784316
20.3764982491246,104.083051164962
20.7609604802401,104.829349075142
21.1454227113557,105.57003804135
21.5298849424712,106.304854968913
21.9143471735868,107.034034855162
22.2988094047024,107.758123993663
22.6832716358179,108.477193318603
23.0677338669335,109.191280477375
23.452196098049,109.900582669788
23.8366583291646,110.605055293867
24.2211205602801,111.304270651754
24.6055827913957,111.998137589314
24.9900450225113,112.687116756047
25.3745072536268,113.371529565193
25.7589694847424,114.051329837848
26.1434317158579,114.726763381609
26.5278939469735,115.398051967881
26.912356178089,116.064727548089
27.2968184092046,116.726246393182
27.6812806403202,117.382956888789
28.0657428714357,118.03572498059
28.4502051025513,118.684776811099
28.8346673336668,119.329661296296
29.2191295647824,119.970025924719
29.6035917958979,120.606094038407
29.9880540270135,121.238247647023
30.3725162581291,121.866568656301
30.7569784892446,122.490989217988
31.1414407203602,123.111492911435
31.5259029514757,123.728139493339
31.9103651825913,124.341001682524
32.2948274137069,124.950091572312
32.6792896448224,125.555512672739
33.063751875938,126.157368498297
33.4482141070535,126.755663589534
33.8326763381691,127.350432934849
34.2171385692846,127.941702340449
34.6016008004002,128.529518412933
34.9860630315158,129.113892219707
35.3705252626313,129.694874892767
35.7549874937469,130.272696672514
36.1394497248624,130.847470060419
36.523911955978,131.418989119851
36.9083741870935,131.986995059452
37.2928364182091,132.551668188938
37.6772986493247,133.113600957883
38.0617608804402,133.673030769422
38.4462231115558,134.229404166916
38.8306853426713,134.782170124161
39.2151475737869,135.331630920766
39.5996098049024,135.878490041366
39.984072036018,136.422883151209
40.3685342671336,136.964556356969
40.7529964982491,137.503385922303
41.1374587293647,138.039445663099
41.5219209604802,138.572697531167
41.9063831915958,139.103061413766
42.2908454227113,139.63084680809
42.6753076538269,140.156399951653
43.0597698849425,140.679585601112
43.444232116058,141.200062455224
43.8286943471736,141.717758952286
44.2131565782891,142.232926770259
44.5976188094047,142.745714882807
44.9820810405203,143.256102743906
45.3665432716358,143.76430171062
45.7510055027514,144.270422989874
46.1354677338669,144.77422207013
46.5199299649825,145.275460893231
46.904392196098,145.774270674003
47.2888544272136,146.270883316632
47.6733166583292,146.765289878252
48.0577788894447,147.257593635006
48.4422411205603,147.747953287177
48.8267033516758,148.236314890865
49.2111655827914,148.722543537574
49.595627813907,149.206648311287
49.9800900450225,149.688641971275
50.3645522761381,150.168467892312
50.7490145072536,150.646184824342
51.1334767383692,151.122062389377
51.5179389694847,151.596129964553
51.9024012006003,152.068371441536
52.2868634317159,152.538857926899
52.6713256628314,153.00755952808
53.055787893947,153.474231878126
53.4402501250625,153.938802467755
53.8247123561781,154.401502198219
54.2091745872936,154.862495201551
54.5936368184092,155.321738537809
54.9780990495248,155.779325069247
55.3625612806403,156.235266842936
55.7470235117559,156.689573217118
56.1314857428714,157.142303510573
56.515947973987,157.593433710866
56.9004102051026,158.042768816216
57.2848724362181,158.490251071354
57.6693346673337,158.936063870874
58.0537968984492,159.380335801301
58.4382591295648,159.823034901227
58.8227213606803,160.264247006621
59.2071835917959,160.703982608353
59.5916458229115,161.142249584683
59.976108054027,161.579076866886
60.3605702851426,162.014460553261
60.7450325162581,162.44836698343
61.1294947473737,162.880822259181
61.5139569784892,163.311776692675
61.8984192096048,163.741141971804
62.2828814407204,164.168975338145
62.6673436718359,164.595475924672
63.0518059029515,165.020664357454
63.436268134067,165.444528172763
63.8207303651826,165.867083885576
64.2051925962981,166.288334574664
64.5896548274137,166.708302341809
64.9741170585293,167.126996628922
65.3585792896448,167.544414968388
65.7430415207604,167.960579483629
66.1275037518759,168.375482260074
66.5119659829915,168.789003238841
66.896428214107,169.201088828997
67.2808904452226,169.61190108809
67.6653526763382,170.021574080611
68.0498149074537,170.430065365362
68.4342771385693,170.83739153379
68.8187393696848,171.243555374405
69.2032016008004,171.64856977414
69.5876638319159,172.052447889488
69.9721260630315,172.455192078506
70.3565882941471,172.856819421962
70.7410505252626,173.257339300554
71.1255127563782,173.656744632567
71.5099749874937,174.055045014319
71.8944372186093,174.452238503586
72.2788994497249,174.848245679803
72.6633616808404,175.243027452793
73.047823911956,175.636702137658
73.4322861430715,176.029369674927
73.8167483741871,176.420999178257
74.2012106053026,176.811603901975
74.5856728364182,177.201186196471
74.9701350675338,177.589756238385
75.3545972986493,177.977324606636
75.7390595297649,178.363893196599
76.1235217608804,178.749474723557
76.507983991996,179.134071955214
76.8924462231116,179.51769262431
77.2769084542271,179.90034675683
77.6613706853427,180.282035427174
78.0458329164582,180.662759816756
78.4302951475738,181.042544052166
78.8147573786893,181.421335138099
79.1992196098049,181.799061307344
79.5836818409205,182.175760558941
79.968144072036,182.551545017273
80.3526063031516,182.926428106132
80.7370685342671,183.300400605617
81.1215307653827,183.673470590184
81.5059929964982,184.045639935823
81.8904552276138,184.416918878425
82.2749174587294,184.787309891975
82.6593796898449,185.15681913175
83.0438419209605,185.525453343619
83.428304152076,185.893214504839
83.8127663831916,186.260109555952
84.1972286143071,186.62614136475
84.5816908454227,186.991314062241
84.9661530765383,187.355632265518
85.3506153076538,187.719098448105
85.7350775387694,188.081717539706
86.1195397698849,188.443499838359
86.5040020010005,188.804428762159
86.888464232116,189.164491378601
87.2729264632316,189.523695631909
87.6573886943472,189.882022974882
88.0418509254627,190.239459517185
88.4263131565783,190.596051063724
88.8107753876938,190.95184001353
89.1952376188094,191.306814987472
89.5796998499249,191.660979106494
89.9641620810405,192.014335082974
90.3486243121561,192.366886122901
90.7330865432716,192.718635774043
91.1175487743872,193.06958647074
91.5020110055028,193.419740857105
