s,z_orig,r_orig,z_smooth,r_smooth,dr_orig,dz_orig,dr_smooth,dz_smooth,curvature_orig,curvature_smooth
0,0,55.035,2.69671355103558e-13,55.0350000000022,0.945691885507485,0.325064390060334,1.92141793298818,1.08433779464301,0.000924389781975544,6.89890537868674e-08
2.95903635124359,0.961877346683354,57.8333366662927,3.04184958257137,60.4245228072009,0.944795603604738,0.327648692278638,1.72623792000645,0.974507142123713,0.00142501308966575,5.01629647114003e-05
5.87139438887403,1.92375469336671,60.5822676056377,5.74300289792739,65.2071074630033,0.94293516689644,0.332963964505407,1.56284754662064,0.88323444026922,0.00198885913715477,0.000126516704517545
8.73670270088687,2.88563204005006,63.2813014499656,8.16728800539834,69.4930873338414,0.940967690308657,0.338483228043638,1.43512884095342,0.812570001892947,0.00209907982739959,0.000201324439682014
11.5548508616972,3.84750938673342,65.9302165158399,10.3797627722353,73.3960573213929,0.938895293888047,0.344189047191313,1.33802081184803,0.75948239867025,0.00220704249438163,0.000279019525158491
14.3259412576194,4.80938673341677,68.5290112272993,12.4216766014563,76.9877935462669,0.936720212664437,0.350064471993199,1.25531946951459,0.714936554806731,0.00231267766989121,0.000426870032709663
17.0502805533001,5.77126408010013,71.0778965852407,14.317519967989,80.3099531667749,0.934444695365844,0.356093315140173,1.18677703680058,0.678675175451749,0.00241597826197973,0.000493587364784311
19.7283304954219,6.73314142678348,73.5772451928655,16.0962002683407,83.4133922532983,0.932070988325367,0.362260259036478,1.13191126673234,0.650284356086788,0.00251676749725065,0.000619514471329374
22.3607021228187,7.69501877346683,76.0275864659662,17.7754878826827,86.3289453254295,0.929601687509246,0.368549923259988,1.08439388714112,0.626282388280881,0.00261499552713989,0.000738972094728846
24.9481245367563,8.65689612015019,78.4295745421406,19.3694883791803,89.081071214159,0.927039117673459,0.374948493171636,1.04383291151505,0.60638224401866,0.00271055216301913,0.000852217755816386
27.4914193503876,9.61877346683354,80.7839620376437,20.8897461567713,91.6898219503467,0.924386105367028,0.381441773599778,1.00812828861489,0.589458841751776,0.00280313192265953,0.00102366564504966
29.9915016037504,10.5806508135169,83.0916022269967,22.3451700609423,94.1703902039676,0.92164555068589,0.388016251677481,0.977157004309025,0.575352365090767,0.00289266504075195,0.00109310856844554
32.449342336989,11.5425281602003,85.3534096988882,23.7447613375981,96.5389203597356,0.918820413076523,0.394659170051065,0.950577703542598,0.563794793301785,0.00297887394411392,0.00122757036241465
34.8659726393982,12.5044055068836,87.5703657175001,25.0951230701188,98.8070387543464,0.91591413649026,0.401357479378618,0.926946227780755,0.554032768144824,0.00306158019636094,0.00133936616783429
37.2424626653932,13.466282853567,89.7434963655724,26.4018339760089,100.984617616846,0.912930006510183,0.408099367765006,0.905990837427773,0.545883432994034,0.00314063569296424,0.00145712434124976
